year	month	actual_ret	expected_ret	sharpe
2005	3	-0.008773455665678703	0.3896216471868796	1.047810523946065
2005	6	0.16528163394533588	0.23648293167881546	0.43205161151617916
2005	9	-0.1431000302372408	0.43807931208009426	1.124116709154734
2005	12	-0.1296738217015212	0.3108364323082962	0.5643601507126215
2006	3	-0.1219602397663028	0.4413532182955813	0.7600016472153726
2006	6	0.1914401757416086	0.6245072190843498	0.43353950156173904
2006	9	-0.03249499749599505	0.6573260988295974	0.4035450566976959
2006	12	-0.027688844690365953	0.3164636395285695	0.8607703516591728
2007	3	-0.011255161024971065	0.5371962378813157	0.6882232277682003
2007	6	0.05537356256301451	0.2663165024218381	0.9254097392322188
2007	9	-0.05925920462022293	0.7828345796487516	-0.018299048622790075
2007	12	-0.041966709845741496	0.20758372171263487	0.39393107564403695
2008	3	-0.11607088409588824	0.3393959760837053	0.7197261381911183
2008	6	0.06798769226565363	0.2927256707187644	0.38505633710380716
2008	9	-0.09295585720218262	0.5714874714292559	0.33951741667848623
2008	12	0.4609349754832579	1.2601921035052932	0.3045201524088643
2009	3	-0.3608672948312481	0.8626273710448716	0.3796044728682346
2009	6	0.08551757013628326	0.9564643432942214	0.2451192577693909
2009	9	1.6774478250943503	2.0493889913356163	-0.11805077420125416
2009	12	0.06760318884786308	0.6886866103663354	0.23221808286568993
2010	3	-0.1477343714800174	1.2509980220494106	0.20214640791868604
2010	6	-0.002900825895960988	0.17278025749216708	0.3235910790417676
2010	9	0.6555920764582474	1.4372125314569086	0.16269473414834656
2010	12	0.008451624868780809	0.8387203531079016	0.20866554193627768
2011	3	0.13993115747345264	0.2577964461484381	0.6502260203420528
2011	6	0.052956574661187625	0.23594942512943337	0.34504508214328006
2011	9	0.08163811595923906	0.206345973862378	0.21245980704591985
2011	12	-0.13335393575968538	0.7654387010204532	0.24101668641427454
2012	3	-0.05959149724132881	0.5355072568153729	0.21526372681408515
2012	6	-0.13892780759357426	0.45176572441104174	0.3108856768724743
2012	9	0.09243034076706928	0.5745703810172021	0.4496825963775348
2012	12	-0.15129673028749202	0.26946046120413636	0.39528559748900666
2013	3	0.1659532453493026	1.0337320174234006	0.27009695800582073
2013	6	0.26934937751977645	0.23410959505288578	0.3679071451729119
2013	9	0.12554103977540657	0.3298857300259408	0.3262322573253966
2013	12	0.22749419910644822	0.71958133695479	0.2286585749401504
2014	3	0.11822911099046023	0.37602065389654665	0.3374374389309566
2014	6	0.16790744916222486	0.4949808657262633	0.5315625545350264
2014	9	0.0031851732179857192	0.25065371825353433	0.45845263868234026
2014	12	0.03691920976147227	0.7568934234152033	0.2814570446119729
2015	3	0.16396407145964256	0.2153975044728505	0.5667523205785039
2015	6	0.1621353035417866	0.22302687557918272	0.31041495985069467
2015	9	-0.05406324204110782	0.49809590205638393	0.3758962721622612
2015	12	-0.29978206056305784	0.850406464966986	0.26634181512974164
2016	3	-0.3611767234494924	0.3566096887846991	0.284930064909029
2016	6	0.09091953327067522	0.17067675492056694	0.5105358963508482
2016	9	0.07522656897380522	0.2413482311228419	0.29980065298848124
2016	12	0.014648619545895948	0.22491495944873957	0.34489856602653535
2017	3	0.1033233860176696	0.27749178617643383	0.4551944482669883
2017	6	0.08669149672937539	0.17407707143362863	0.5368369399285302
2017	9	0.030103209081496916	0.6463774681919879	0.1763374016214195
2017	12	0.040599553876761646	0.23952158012586128	0.21181934639714675
2018	3	0.19443157798784597	0.4615559018529111	0.17337715939990156
2018	6	0.1986904883017702	0.43458760798542095	0.29815442831613437
2018	9	0.15608423183329972	0.692618902584677	0.25631261680427003
2018	12	-0.16753676625473066	0.4165094741514556	0.2466530091475501
2019	3	0.6601807867380333	1.108812783087111	0.3150552842465848
2019	6	0.11965145360792837	0.33677604684188456	0.435912255099817
2019	9	-0.40074694475954564	1.4118813067111733	0.355161354538128
2019	12	0.20823152665763608	0.7410725639525446	0.33007611495694966
2020	3	-0.11155260279934821	0.8411910129249658	0.42089271864501726
2020	6	0.014565153505517963	0.8310765432170187	0.30264821813950854
2020	9	0.15692925093592078	0.8832410258293835	0.30605748610264716
