year	month	actual_ret	expected_ret	sharpe
2005	3	0.015742630037045794	0.23807426703487747	0.43031810995693515
2005	6	-0.16930798777584063	0.2466681782965427	0.7304659973274831
2005	9	0.038609692079703904	0.1733453350198564	0.3442925849608296
2005	12	0.04866301617971295	0.10862844453837545	0.35593599853593094
2006	3	0.04488928251848304	0.3183101364969126	0.49210962393887686
2006	6	0.011720948123012134	0.219374409640993	0.39124962347247855
2006	9	-0.018809995538358402	0.23784650468115462	0.8264160016345174
2006	12	0.04601719485966699	0.09730541300506772	0.8504977658443171
2007	3	0.03834515594249689	0.09941099383511143	0.5380549311169175
2007	6	0.07984253190757898	0.18282689555490741	0.7514598765982793
2007	9	0.07887348461152209	0.12941441328391493	0.6188901127159268
2007	12	-0.03423617875053884	0.20556278330505737	0.5692371848843837
2008	3	-0.006834413911449	0.21323729129752492	0.29708860902941847
2008	6	0.10880009683402254	0.39387847166403855	0.7473286320812604
2008	9	0.1449017715068482	0.31923363152914863	0.3907234053213877
2008	12	0.07278690704202	0.38571002246500224	0.48629183724413966
2009	3	0.009596562032167178	0.3147526753147689	0.12508969505825754
2009	6	-0.07076656144384866	0.23026653076640108	-0.10737651280052278
2009	9	0.18406388012288286	0.7193699899432611	-0.04394252434832734
2009	12	0.1807237494027343	0.6292895582887783	0.14914088162852018
2010	3	0.014390683447981287	0.2814427813217929	0.31129672594692814
2010	6	-0.10156757997346173	0.2590689976190955	0.2924306173151802
2010	9	0.024879829136040532	0.24003380409189928	0.24368864103741567
2010	12	0.027750467286936913	0.23088464482143894	0.22249755293524165
2011	3	-0.05573176631511094	0.4795022848368764	0.7277137810071017
2011	6	0.024677743570762682	0.39890047453230526	0.66242491582962
2011	9	-0.016815195806543067	0.2295610742918801	0.8886638778866713
2011	12	0.010888683676200217	0.19838624968681398	0.41315830253184455
2012	3	0.001691746626731671	0.2579275312140371	0.4373731014185469
2012	6	-0.07054710910209946	0.4836573435026672	0.27627458975873537
2012	9	-0.0025844501391331085	0.1496060915783199	0.171307985299513
2012	12	0.05689303115948863	0.21944172989898483	0.12883924395458005
2013	3	-0.02281498737028151	0.16876651021928984	0.2867287880895869
2013	6	0.177215639560191	0.14140173406576345	0.2668417307658128
2013	9	-0.08899888820453689	0.25849100991208673	0.357981094447669
2013	12	-0.03348219915990508	0.26471593794449777	0.3213698398503982
2014	3	-0.01781872318010519	0.24259817159380648	0.1581482168937888
2014	6	-0.046039006725470524	0.177467462841363	0.4848615799681056
2014	9	-0.05104147689552925	0.26546014836475973	0.2537788753901672
2014	12	0.06526828559042422	0.23914462367575356	-0.0007105876328111584
2015	3	0.05117498485057536	0.48596334008282727	-0.0028228708383939488
2015	6	0.05354260009191074	0.42147974908932123	0.7714429470893515
2015	9	0.02335351435801255	0.4233196119210583	0.26791091594322064
2015	12	-0.040067090040943235	0.19869380055035057	0.07213211801652375
2016	3	-0.04299234069040805	0.2653723690759023	0.20116073767281933
2016	6	0.03491113863287173	0.31729928150097675	0.31360573019762716
2016	9	-0.005337665864816757	0.2406530613737656	0.1053023035394944
2016	12	-0.06679834828481689	0.21808548809119951	0.4541765180138165
2017	3	0.024784367821270296	0.24286533581626168	0.5678209971741028
2017	6	-0.07095573098284934	0.23943089171565315	0.3019399721681286
2017	9	-0.07218903567262783	0.13304858999745586	0.4009980338652866
2017	12	-0.06096533297853271	0.1913346229105013	0.48465783804790863
2018	3	0.09218543390895813	0.11090188814894422	0.27157599340636496
2018	6	-0.03824945848572839	0.10410402907364943	0.17914356561211664
2018	9	-0.20915647969182471	0.09864080348224155	0.21053872027338122
2018	12	-0.04125113514628466	0.22117600746757343	0.1665006311563161
2019	3	0.042543444793416284	0.13530355255510407	0.16348854735480164
2019	6	-0.02743482402858179	0.25444694155769443	0.3552959464347851
2019	9	0.11923170727725184	0.5686322829887468	0.15888005992066215
2019	12	0.056434501615688165	0.24656955402569325	0.20695665349676284
2020	3	-0.01570862471026417	0.3986719806109948	0.352223162807632
2020	6	0.16677195574108522	0.22364574658486608	0.11824183246810702
2020	9	0.08431873314644947	0.22711503792541485	0.2511133041027168
