ADM,AVP,BEAM,BF,BTI,CAG,CCE,CHD,CL,CLX,COST,COTY,CPB,CVS,DF,DPS,EL,GIS,GMCR,HNZ,HRL,HSH,HSY,K,KFT,KHC,KMB,KO,KR,KRFTV,LO,LP4009,LP4011,LW,MDLZ,MJN,MKC,MNST,MO,PEP,PG,PM,RAI,SJM,STZ,SVU,SWY,SYY,TAP,TSN,WBA,WFM,WFMI,WMT
20170407,137395234.9,,,49089032.48,,92932794.63,,60273455.76,313877565.6,97200495.18,377605130.1,41298083.88,69504844.35,413326004.5,,95121172.48,97928451.45,178476902.1,,,62929287.0,,81893205.35,99732810.69,,255284623.4,233628653.5,761750735.5,158826181.2,,,,9565593.03,,299137363.2,83037049.4,64005478.6,90573418.88,617768518.3,424490573.6,1139782396.0,793397016.9,265459055.0,92665058.22,198794070.1,,,136295856.2,109741830.5,111582453.9,368545539.2,50617522.64,,499549634.2
20170424,133695741.0,,,45202779.0,,90175338.0,,59485263.0,312222366.0,95550085.0,358452280.0,40013978.0,66604369.0,388292312.0,,98702326.0,100632631.0,170893953.0,,,60955128.0,,82206190.0,97524663.0,,253525163.0,230919347.0,768473802.0,142470658.0,,,,,,290811922.0,83330725.0,62876578.0,100260737.0,589876339.0,428492236.0,1076578775.0,822362952.0,270481740.0,85473540.0,197351524.0,,,132633187.0,104342712.0,108433541.0,353573390.0,48266473.0,,503304827.0
20170607,131564373.0,,,45579333.8,,86253196.26,,58656893.1,304387802.4,93673909.2,376344707.8,38942381.1,66606002.4,402899201.6,,92030072.55,101822828.6,165293459.2,,,61965522.48,,80892051.2,94494752.0,,249819791.6,224693784.0,772310350.5,143672959.2,,,,7239772.27,,299872286.7,82183199.12,63627408.9,97716708.62,582967084.2,429439042.6,1034046410.0,796470081.8,275559222.0,82009635.84,207996107.3,,,133854256.9,103598693.0,112234588.2,363896373.0,59474333.46,,524442072.4
20170710,116315642.52,,,48787335.95,,83216069.02,,59521205.52,314836632.52,92498366.24,372654167.81,40113291.16,64874698.0,365810755.83,,90631285.25,107195429.34,158884879.98,,,57665562.78,,83975808.78,92858183.2,,248253386.6,219253818.94,792850295.66,140590397.26,,,,,,302754166.35,80849540.1,64677670.75,105691281.28,596899611.92,431627322.62,1016169418.38,838657504.0,279895172.5,80465977.3,214629823.75,,,134576823.04,99786665.27,97313319.52,332442074.2,55543545.88,,534160805.4
20170807,132267528.56,,,51719439.6,,86285590.08,,66574024.28,348906040.14,104434577.92,376574536.53,45006346.84,66506790.7,434033584.92,,102134674.44,126040360.12,175771624.2,,,66270579.39,,89836908.48,102062301.28,,263026645.84,248197707.14,887789110.65,124026300.64,,,,,,317990823.57,,68616324.35,118936155.6,669415149.26,487082770.68,1147538648.55,939153455.1,309035283.6,85332851.19,257485186.89,,,140161399.84,104283524.16,122268979.09,367138580.32,76988281.26,,575536107.52
20170828,137499460.7,,,54098532.8,474387.63,84237042.56,,69807781.45,346376251.0,106523818.6,380449203.1,50639298.56,68724750.78,439641217.0,,104227421.4,132379525.0,179949781.9,,,68431131.39,,89681153.52,102587112.0,,273941512.3,241463062.2,925353010.6,132868142.3,,,,,,330628981.6,,68758854.7,128800255.3,595589735.5,501377755.3,1219410079.0,951592300.7,,89454364.6,262089985.4,,,149426803.1,109397973.7,125939785.0,385512572.3,77622611.04,,620268376.8
20170921,117042123.0,,,50472970.08,,69393702.12,,57041734.73,298634563.8,96056563.47,326899295.1,35622362.12,52220599.2,369638796.0,,90454533.0,124323663.9,149620228.9,,,53493040.98,,77636183.52,85814787.0,,219773399.0,210034624.8,798978520.6,102973757.8,,,,,,265362976.7,,59642229.15,118436587.4,505021956.4,432377927.2,1076492868.0,828422506.9,,66798328.32,235679981.1,,,129964699.8,95887194.75,109327455.6,338428750.0,,,526031912.6
20171020,124429788.2,,,58989185.1,,75723829.16,,66133765.5,323389454.9,90605813.16,362364267.0,44959682.52,51195844.02,408532325.8,,85856065.38,125603297.0,153861465.4,,,49333068.02,,82636449.84,82870395.3,,235016981.1,211850478.0,853326946.1,95242633.28,,,,,,309229302.4,,67069389.52,119624592.8,601225595.5,786341564.0,1145814948.0,851471677.3,,65134877.78,175798620.7,,,135793013.2,80846540.84,107471756.8,357402808.6,,,398503607.4
20171121,107322699.11,,,55469284.08,,68652240.16,,55202753.87,280674983.95,77945643.25,318870907.48,37506546.0,46385935.62,309004511.2,,74544415.76,116828256.42,138475935.84,,,42834810.68,,71973051.2,74502681.63,,210313782.36,181747866.43,782907299.46,88148714.4,,,,,,282797492.73,,58249235.79,112513210.11,546505713.78,698436460.02,976570414.02,720867994.56,,58959133.8,173222851.23,,,125593519.68,71805847.79,99749337.56,275286242.7,,,399548196.62
20171221,106553497.64,,,59192312.4,,76336714.28,,58555473.2,294628502.7,87305021.94,372670139.37,42697232.25,49120646.6,352554181.0,,79857292.46,132711766.2,153979848.96,,,50982396.3,,76510972.39,80203253.92,,225893209.88,197477892.72,795500633.38,112046233.86,,,,,,299184450.0,,60847576.92,123848015.31,589205091.51,753610111.92,1038971625.88,722531835.0,,65999868.99,175609926.12,,,132636868.74,70557180.1,114494878.75,290960182.28,,,454177859.1
20180122,121773781.44,,,76815566.73,,86447715.23,,72262208.99,341857084.05,105540995.58,417520948.68,56465661.33,55661730.48,377882977.5,,97261981.86,152251439.56,178304595.7,,,58424072.22,,89597756.38,94136800.56,,242306769.6,222243895.32,882754461.16,131467355.55,,,,,,330238765.2,,70538738.97,139951341.59,426726236.61,855715902.16,1174757190.76,823333936.45,,80097279.52,207042363.12,,,155407584.16,85464415.2,130355290.45,325733015.9,,,725171612.5
20180209,115438776.6,,,68569578.0,,77142812.0,,62246184.35,298397137.92,88932011.88,387769864.3,49252828.98,47649417.9,363820146.09,,105820245.3,143347359.12,156116828.8,,,48759997.56,,77041122.07,83443808.63,,216740667.78,191234745.0,812260504.38,129401788.56,,,,7337185.32,,303914625.6,,66625758.26,133483943.86,372998389.28,761506578.9,979192818.84,741297503.42,,72378436.67,176436761.34,,,142816560.79,77411406.9,108257950.68,299470603.22,,,694538015.6
20180321,105911208.96,,,65632260.75,,69691120.87,,59140694.29,261613072.71,76954527.16,359017039.5,45786139.56,41580617.4,295986263.43,,97829373.75,138774609.48,127333933.5,,,43501009.32,,65199833.44,77016947.6,,174954034.35,171066813.68,697132419.54,109090227.12,,,,8709183.82,,283578591.1,,61698551.8,117620866.89,315512135.65,656430097.9,841562519.72,676522075.95,,67978196.4,163487261.76,,,127874210.3,66739337.5,100422892.54,258687254.53,,,554237115.06
20180522,131780343.4,,,76107419.64,,77121577.17,,58519276.2,296479025.6,78748672.4,409186849.8,42539233.15,40738078.16,,,111964786.0,172676346.1,129241114.9,,,50838848.75,,67257235.96,76132844.2,,174846276.2,188545097.5,809894579.4,115282866.3,,,,26870372.55,,305056327.5,,66283494.56,118084505.0,334500494.4,700804011.3,890315362.8,621747698.0,,67274801.28,207448399.2,,,155930231.5,68396811.6,108324198.1,293963702.9,,,626863120.9
20180621,127294015.28,,,77044731.12,,77332916.7,,59739978.15,288057709.98,81426974.51,413286985.44,32424499.0,33541300.24,,,111642729.5,174693417.28,125286746.98,,,50234909.99,,66160851.76,83477385.26,,179068995.96,184491157.7,809619652.0,102031577.49,,,,4841703.4,,304657720.29,,63799680.0,110143540.68,333799045.74,699173174.0,904616148.87,605836056.38,,63695255.0,199430843.04,,,162545216.26,59461425.0,104544832.47,277263967.55,,,587564126.52
20180720,148538008.95,,,74403306.25,,81249519.78,,75397093.8,327646566.14,101502420.0,385222029.12,38641867.8,45202343.24,,,,185253000.1,152175130.34,,,58239119.87,,75349379.16,101143881.87,,217495466.82,213266834.38,892109856.12,134049173.7,,,,10331469.41,,350480710.0,,81603143.7,136398180.6,370541972.25,819801333.78,1042498481.52,666604942.08,,70775257.56,213183319.66,,,189702654.42,72972083.52,118748624.4,296648503.59,,,658096143.15
20180821,161679928.1,,,83516815.5,,86858282.86,,81951915.5,350949730.74,104862182.6,418983621.84,37988491.68,47137904.4,,,,181098925.8,163693969.74,,,58193596.89,,82198430.86,106284390.93,,216146935.25,238861998.02,982552480.76,141243804.0,,,,22612704.34,,384164170.2,,85402213.2,147685932.24,396915921.0,897133860.0,1118966873.76,738148236.6,,75641273.04,212121649.54,,,193477964.68,74274056.0,102779803.6,346251320.52,,,710305688.93
20180921,170601026.4,,,82797159.9,,87543277.5,,83809521.06,350680528.58,113652721.6,450335355.96,35377410.0,45949545.3,,,,189990529.56,165128279.65,,,64000814.85,,85022831.6,108525301.95,,210720693.87,244322848.18,947193483.69,154994175.0,,,,6586521.15,,381451750.08,,91680652.0,151398966.26,399120620.36,881271157.9,1157471028.0,671879451.56,,71089567.14,211752308.4,,,217084693.32,74760279.28,113153973.68,353938668.96,,,769570119.18
20181019,174650044.8,,,52875754.95,,82578895.92,,90431790.3,360596114.45,118948439.48,418026270.72,35117772.56,43744901.31,,,,202184733.24,158764556.52,,,66489627.6,,88491426.0,109984755.24,,212703107.1,245226824.28,988543183.49,144531179.11,,,,5021303.08,,391057190.16,,99176130.0,143906199.88,407027365.2,884111493.2,1158375081.57,708728801.22,,72439684.31,224661809.08,,,217415595.75,71451868.5,109338572.41,381690549.0,,,753538253.77
20181121,160391353.5,,,47196687.58,,100980610.4,,88055090.46,313286654.55,115337930.6,397441704.06,28722448.85,43502031.45,,,,186817656.48,158307522.6,,,71709335.28,,90519569.95,100149695.6,,207268672.66,219869093.5,1000211907.24,143889748.8,,,,2004068.52,,373247958.2,,105546240.0,127524354.65,428744460.48,867432675.48,1204766130.6,747146688.85,,74462525.92,202791037.02,,,206836956.27,72403776.0,107561493.2,407956862.28,,,785850136.52
20181221,162947477.94,,,51032817.84,,95911287.78,,102714039.14,348779300.16,134167437.04,419642526.8,23840824.08,47861671.2,,,,202287457.54,159501084.2,,,78265688.94,,95709475.2,101856294.4,,201096878.4,253789541.56,1099870329.6,149466201.54,,,,10834718.07,66575600.0,417435765.5,,115035000.0,150178095.52,377267026.44,983269043.12,1341276279.98,766872125.0,,75877708.83,207905341.92,,,203901243.4,78596596.94,111096993.15,451983107.91,,,798946813.35
20190122,161571955.05,,,55659369.48,,72964200.72,,113898029.76,362655300.48,138399839.76,447781673.43,20795140.96,44706101.59,,,,201235817.8,163313853.78,,,81852941.72,,105727389.46,101587715.28,,188283773.92,277556358.78,1106547861.05,154367235.0,,,,1608606.48,75779746.56,408871303.66,,119267414.4,137840806.88,426302524.67,951302844.32,1397096308.32,368265517.6,,74814157.13,187942936.28,,,210775457.36,73991417.76,110850496.8,385913490.7,,,808862901.75
20190221,179048762.7,,,55890513.0,,74746832.2,,113157178.68,400224640.2,134717466.36,478990414.89,24873880.72,48545831.7,,,,214143930.8,189174813.96,,,82069017.68,,105829551.1,106326342.36,,213362898.66,275231452.14,1141300288.71,160802779.8,,,,7879343.66,75313753.2,479782213.02,,107089055.04,162091888.56,432518747.85,984514403.45,1487666667.63,429782217.76,,84867113.04,205980904.56,,,217944696.1,88738574.71,129972309.12,414429743.08,,,844506570.67
20190321,170247562.5,,,58509354.54,,80679947.19,,115832082.8,407374266.53,144161919.32,488584882.42,35240821.0,49328309.4,,,,246225990.92,200520570.51,,,84041609.44,,110970756.36,101908688.88,,147270103.77,288547551.81,1076109670.82,167235964.42,,,,12651356.71,72161136.16,489501322.92,,118381468.4,181577456.32,459096558.33,1011325341.32,1521093331.35,486778798.8,,85655453.87,200538165.04,,,230453309.8,82100968.26,130055245.12,408078877.5,,,873114072.75
20190422,180985858.31,,,65758496.44,,100925803.98,,131230590.5,442482793.82,154076901.2,491347824.46,38837351.5,55037718.99,,,,270709677.7,231373163.25,,,91430043.48,,119618066.51,107925123.92,,152134144.25,319726799.7,1119108505.02,147029722.8,,,,7457646.52,82249947.36,495426796.8,,138367211.7,159917762.6,479480600.51,1068429503.25,1615516405.35,467254996.32,,99296794.5,218771163.44,,,236274588.64,83865692.95,153584158.96,380138434.38,,,861731679.15
20190522,187613780.2,,,66393904.42,,111986166.06,,138766177.5,471565138.07,153775265.6,499945485.17,36540882.02,55846035.87,,,,281581814.34,230656577.13,,,81584359.62,,130742545.45,113417305.2,,155278831.8,332019308.74,1175293968.42,154819676.04,,,,17748151.09,76882957.2,506395572.75,,142143564.3,175067252.0,455168970.81,1119876000.75,1658271284.56,459182449.28,,104521595.79,264750062.56,,,249628004.68,90248764.97,166355077.72,322550005.58,,,911558848.2
20190621,159339350.0,,,61771631.46,,96553500.6,,135551952.9,445055944.9,141610572.2,481380906.6,27624138.9,51564230.41,,,,260788407.06,219000808.32,,,79994458.61,,135959971.52,97998330.24,,127676363.5,326819825.64,1161667058.8,134779271.8,,,,12496037.83,64494336.0,499710984.3,,141742366.88,179590776.66,405598791.18,1104864640.0,1582388205.48,403745469.3,,102702275.64,218130666.1,,,241304460.66,76651521.58,166349134.53,293580894.4,,,887418016.64
20190719,176467629.6,,,71200167.58,,99500069.76,,138895388.84,475092546.3,150569905.1,549292950.08,31096160.6,59631693.16,,,,310019695.69,242827900.64,,,85223998.8,,144156234.56,102804954.89,,149115849.6,353799890.08,1310706921.96,135223383.62,,,,6913041.37,71560177.92,529476894.1,,146571875.64,192892664.25,503446365.45,1232365247.46,1843907952.9,550088671.66,,101162276.99,254251115.52,,,258204589.76,81197704.0,183787331.64,328056574.23,,,1036154447.88
20190807,177877961.04,,,70317722.16,,108184060.21,,143928204.0,475890016.12,160097586.0,574073343.84,25286914.34,61445626.32,,,,312089509.91,245782404.89,,,86063833.7,,163763422.38,111592137.04,,154302796.56,360378235.05,1356966500.31,132274291.68,,,,12520576.03,75714179.04,526488911.46,,150408324.86,195030840.27,501477190.2,1203159117.74,1988135916.0,586817537.49,,97527528.75,254348320.98,,,250582825.13,78190747.55,181161579.0,327245852.37,,,1036893052.62
20190906,182913807.8,,,84034204.5,,118017105.48,,168939335.7,547844447.05,172916486.16,681533755.4,24581146.1,74273040.0,,,,373883326.05,276417944.0,,,99342828.84,,189835268.0,133672312.0,,136546776.08,417657095.78,1577831624.96,164299180.8,,,15193328.73,,88171217.9,603367459.42,,171497386.77,197050704.76,517307075.1,1431152226.35,2251370111.21,562702892.49,,102435304.4,293202401.75,,,302757388.16,82604856.0,235388315.76,342594449.95,,,1193507057.62
20191007,187988643.18,,,93907077.36,,122687571.24,,152787911.76,518335696.77,156940028.08,615765402.38,25405139.85,65028586.32,,,,361696471.65,273371608.64,,,99787661.92,,189737053.11,131499031.95,,142838554.95,401816550.9,1563674240.48,169237063.7,,,637281.15,,87054639.12,655636818.48,,158061813.6,184587661.42,627907965.7,1431047332.2,2323426111.56,648479329.77,,103120645.8,284882108.24,,,334861877.6,88768615.0,208599208.2,344834841.04,,,1260024847.92
20191121,185397535.08,,,94210421.76,,103978279.45,,136512668.76,465802369.2,146706532.29,611460996.19,27163410.05,61694830.34,,,,326141633.16,242966662.76,,,89688902.91,,173212603.2,124799157.89,,158903437.18,361985450.64,1505583440.16,155481775.68,,,9874690.89,,89807651.6,598565484.2,,156182002.74,171534458.73,662113952.91,1378502671.81,2239604699.48,669727540.8,,95206055.2,251942675.95,,,324417084.18,78234529.36,193153789.03,328928482.08,,,1198630430.14
20191220,183454666.06,,,95719469.52,,108655902.74,,133425770.4,446016885.12,144040905.9,600700729.76,25997952.75,60734035.96,,,,332396170.2,247504370.4,,,95360216.16,,169730839.92,124849728.27,,145312371.58,360295421.76,1448024635.85,167239879.73,,,12815901.46,,93662051.18,583990392.11,,160320087.76,178719377.55,713677978.5,1325308288.97,2125077645.28,658217865.84,,92572621.44,238194840.75,,,318967209.12,72925389.6,203619616.2,349657165.05,,,1177958113.12
20200108,207299540.7,,,98954975.6,,133873640.64,,138683891.48,473479730.16,154822059.0,607250770.72,26715307.5,67072873.42,,,,368876722.28,259727543.92,,,100777409.07,,175129903.56,138350914.52,,160763836.59,378387257.85,1497502386.45,186793992.06,,,2328190.11,,100955430.73,636493298.76,,168493007.76,194912234.95,600025406.68,1337142242.43,2185484837.3,606016510.85,,95412028.14,254985291.0,,,350225737.68,81345448.8,215904728.48,354708548.48,,,1182816896.8
20200207,194138219.4,,,96019511.88,,124823191.96,,141909382.2,492672368.86,153818032.62,612789102.0,23627733.48,63688934.01,,,,338408610.96,245909933.08,,,102385434.54,,179306693.5,132326240.43,,141685495.6,382585875.32,1533657584.0,167840565.48,,,14129421.13,,103916532.53,643691594.24,,157291982.52,198093508.2,554713789.42,1348726020.66,2116547326.2,571794167.9,,92068882.1,245736772.4,,,326536070.4,81350000.48,190038836.51,297027867.6,,,1106097621.65
20200320,177092761.35,,,94535290.92,,109748265.78,,144147286.8,489309573.97,169061243.34,611511831.1,23050845.09,64398828.48,,,,345234096.0,250228741.0,,,97736246.4,,180435596.88,127219990.91,,130347369.16,379989867.15,1523356580.22,190620610.21,,,14155077.04,,107235119.72,642347481.6,,152635663.29,201303891.87,510947224.59,1359741321.9,2085507166.21,613867318.38,,99250948.05,243954416.94,,,287334081.85,78748334.28,169175956.11,289877199.04,,,1128191679.84
20200407,166450440.92,,,85957568.06,,121357780.38,,133862279.76,483382564.56,184801270.5,554516261.92,12963024.24,66273389.12,,,,301389219.9,271073315.91,,,110227856.64,,167013732.5,126959896.49,,130957256.34,372563566.44,1279474811.25,205311383.64,,,4781134.66,,70886509.5,612853899.84,,148299448.05,182543277.62,613992669.84,1255787218.0,2056987020.0,583420919.04,,107602512.0,204086435.84,,,197877460.95,62285121.45,145189580.04,291527006.25,,,1208616843.2
20200507,190251692.7,,,104271022.6,,149744119.36,,158038399.86,554171636.13,215287115.44,637982256.0,14822588.45,77692760.46,,,,361238446.8,333071647.1,,,119872799.35,,180750396.25,150072814.0,,173812009.68,436827959.04,1436549187.32,233274276.82,,,22177533.45,,82459679.12,681511430.48,,178341195.6,217127960.49,674698276.25,1497553094.41,2386304435.01,645832267.4,,120587358.37,253817263.58,,,264189675.72,70892551.65,168918736.68,298644896.16,,,1399820729.45
20200605,,,,106712122.31,,150401692.7,,163661082.91,550672809.87,229931625.0,626966508.88,9509957.49,76502066.42,,,,390392463.37,338462327.36,,,120618010.46,,178761792.0,144465981.24,,168572228.0,430726666.24,1410722021.64,232396166.52,,,0.01,,77750372.7,666634605.6,,192292749.92,243860544.81,648044746.8,1437671800.5,2265628695.12,613129308.4,,115419976.54,256956876.0,,,250010714.24,63204159.2,161102929.92,285982203.48,,,1401193933.16
20200619,194397030.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200707,181474337.1,,,95051382.6,,140257362.11,,155630950.1,513767032.02,224675902.19,588540615.93,10938720.27,68761322.77,,,,347223653.04,305957113.2,,,110764107.06,,156428138.02,135299930.22,,162704183.16,394118854.8,1265375890.76,217892314.6,,,17817894.76,,76443594.27,597583562.29,,181614769.49,212183598.28,597210926.25,1344541272.7,2168808248.86,576815329.72,,98795220.24,240586691.3,,,227178711.9,52905741.28,143881873.38,255745694.79,,,1242660364.94
20200807,191329276.57,,,101690577.0,,146692661.15,,190483808.97,531766569.6,237930715.57,620603738.73,8884311.03,67451039.11,,,,357060068.82,308411133.48,,,114629234.34,,172355636.28,138783112.59,,172284643.44,416379176.64,1314066907.48,219956435.16,,,11109262.38,,70558612.88,636997732.45,,193788485.3,235945489.68,614977367.8,1374525739.12,2335980291.92,621130517.04,,100285759.8,240690106.8,,,215744851.35,56741345.92,145440228.7,241236753.27,,,1318564390.2
20200907,198892581.84,,,106548397.92,,149457771.68,,188487739.51,543047115.9,223651309.5,659276349.5,8512334.26,71080424.02,,,,398638148.2,310067714.2,,,114285179.7,,175247600.48,141889562.71,,174656774.88,429757328.96,1370444232.69,224384847.84,,,10025114.2,,73289950.65,667067367.92,,203943759.6,250779137.0,650212552.26,1391061914.0,2451342195.09,641799881.27,,109435667.64,247847957.6,,,244198109.16,56519094.8,147845832.4,224102578.68,,,1407349026.35
20201007,203422573.8,,,107526832.0,,137368799.48,,182505004.21,520900212.75,208895318.95,645853630.0,,77117403.51,,,,387701264.25,296731069.2,,,107453913.19,,165684412.56,129068905.2,,152826763.5,396571643.28,1331299768.68,209187127.72,,,15237598.23,,75780407.7,646190533.65,,189461980.5,233157359.8,565479398.4,1338630262.2,2413683661.2,569592619.19,,103131635.2,250738217.37,,,249172247.34,49405488.24,137296197.0,203442510.64,,,1355085433.28
20201108,202453285.6,,,100193904.16,,135065269.9,,172244178.76,532984863.39,206123181.75,651005010.84,,74267044.41,,,,390415995.9,284593097.52,,,107581772.25,,159494838.0,125749812.8,,156184617.19,356307383.33,1296772750.26,198330691.46,,,20785094.09,,72419165.1,597856675.84,,176304117.0,222737612.37,528339320.08,1288131087.96,2382312940.2,539769683.98,,100797338.4,218747336.08,,,221632811.62,52297526.22,132575183.59,192913258.08,,,1344678003.75
20201207,212761076.22,,,113038456.54,,137212385.44,,166993835.1,564903877.68,197086134.64,696357463.05,,77907350.48,,,,425742556.56,285855459.68,,,101850108.08,,167731366.07,124598552.54,,163985860.8,365527986.26,1359377799.6,198145431.0,,,25472297.75,,80920478.1,631305411.0,,178289169.6,240794784.18,569464525.91,1360926155.15,2356059948.93,562110980.25,,102655480.0,266073724.16,,,278918204.05,66525338.0,147596956.4,210318756.48,,,1445750623.02
