ACV,ADM,ADNT,ALV,APTV,ATVI,AVP,BC,BEAM,BF,BG,BGG,BGS,BLD,BTI,BWA,BYND,CAA,CAG,CCE,CEDC,CHD,CL,CLX,COH,COLM,COTY,CPB,CPO,CPRI,CQB,CRI,CROX,CTB,DAN,DAR,DECK,DF,DHI,DLM,DLPH,DMND,DPS,EA,EK,EL,ELY,ENR,EPC,ERTS,F,FDP,FIZZ,FLO,FOSL,GIII,GIS,GM,GMCR,GNTX,GPC,GPRO,GRMN,GT,GTX,HAIN,HANS,HAR,HAS,HBI,HELE,HLF,HNI,HNZ,HOG,HRL,HSH,HSY,HYH,ICON,INGR,JAH,JCI,JEF,JNY,K,KATE,KBH,KDP,KFT,KHC,KMB,KO,KORS,KRFTV,KTB,LANC,LEA,LEG,LEN,LEVI,LKQ,LKQX,LNCE,LO,LP4018,LUK,LULU,LW,MAT,MATK,MDC,MDLZ,MHK,MIDD,MJN,MKC,MLHR,MNST,MO,MON,NKE,NTY,NUS,NVR,NWL,PEP,PF,PFGC,PG,PHM,PII,PM,POOL,POST,PPC,PTON,PVH,RAH,RAI,REYN,RL,ROKU,RYL,SAM,SEB,SFD,SHOO,SJM,SKX,SMG,SNA,SPB,STZ,SWK,TAP,TBL,TEN,THO,THS,TIVO,TOL,TPR,TPX,TR,TRW,TSLA,TSN,TTWO,TUP,UA,UAA,USFD,UVV,VC,VFC,VNE,VSTO,WBC,WDFC,WHR,WRC,WWAV,WWW,ZNGA
20110111,775173.6,4046772.08,,,,1530355.96,2908236.24,332477.75,,,2029806.68,206761.16,,,,1631352.24,,,2281884.84,,,1084259.25,8950455.65,2033672.62,4095587.98,,,1695237.3,773529.68,,116898.08,449793.62,,305432.69,502377.28,224895.18,708095.2,309382.12,,883662.67,,,,,299424.12,2156197.6,116776.7,1162913.19,,1158044.79,,210706.2,,572548.6,760724.25,,5165528.64,,1018661.76,688954.77,1820702.94,,794314.88,546717.28,,256086.6,892712.28,719714.49,1419600.76,606829.65,,,236190.24,3592205.13,,842163.72,2230365.0,1723410.0,,314571.2,,673343.1,5807989.4,,279262.5,3011251.41,,203682.5,,11504891.75,,,31946711.42,,,,252279.15,,722761.2,550926.11,,,717433.47,,2907614.46,,,,,2220818.8,172590.0,,,689850.2,,,1158475.23,284241.84,,,7702416.4,6077849.58,,416208.87,,1113410.61,24425486.64,,,41178768.16,497244.32,564001.71,24769906.0,248177.28,,,,986325.76,806012.64,2484605.76,,1685354.72,,150290.64,,,648488.25,,1770177.75,196011.01,535321.4,723764.82,,917969.4,2342803.15,,247081.38,516237.14,243031.9,408319.92,225080.04,,,543889.01,,935030.61,,,224365.0,691947.76,482680.53,,,236214.34,,1682215.36,,,756185.5,140372.19,1316993.0,569625.3,,365093.75,
20110124,,,,,,,,,,845027.29,,,,,,,,,,1876889.7,364991.67,,,,,,,,,,,,,,,,,,664417.08,,,,2081023.56,,,,,,,,12630680.66,,,,,,,,,,,,,,,,,,,,,981203.11,,,1727250.32,,,,,,,,,,,,,,,,,6017317.14,,,,,,1033491.75,,,,,,,,,,,,,,216914.39,,,,2893553.18,,,,11872344.0,,,,,864252.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800598.2,,,,,,577792.55,,,148038.48,,,1154925.14,,,,,,,,,,,,,,,,,
20110207,730391.76,,,,,1527420.52,2789847.18,375043.62,,848923.205,2124551.52,224466.0,,,,1846410.12,,,2222097.8,1831319.95,326943.3,1077885.34,8683094.43,1959591.76,3654497.63,,,1617126.0,779010.0,,140704.72,394489.68,330552.96,323894.88,539326.98,247605.6,691903.98,361131.68,745207.45,809603.2,,,1879548.12,,317912.32,2153721.6,118120.59,1128929.4,,1193921.82,,229814.45,,555530.04,748497.6,,4821021.4,,847163.66,905895.76,1831862.54,,794025.78,640385.85,,260939.58,822103.0,722465.2,1323823.62,536016.2,,900774.75,258367.2,3523975.54,1806480.35,822466.7,2369645.81,1637896.7,,312204.08,,640583.37,5737143.4,,297793.02,2862472.12,,233444.45,,11292301.72,,,,,,,259058.8,1089166.14,750146.84,645112.5,,,732220.16,,2747779.1,,,,,2056574.96,235782.9,239913.03,,705356.52,350258.58,2849182.5,1148267.34,318299.3,,11475972.88,8435145.0,5679917.48,,375647.64,866539.08,1177918.56,23264600.97,,,40306926.45,,570170.16,24012693.39,253439.76,,,,855738.81,800988.21,2468224.92,,1593809.48,,168528.88,,,718171.56,,1753774.1,162980.0,513437.01,732711.0,,923123.4,2479405.86,1789825.59,228416.51,549856.44,268351.92,393393.0,226848.18,576878.0,,587880.5,154497.01,1193760.4,,1182273.54,231103.44,671813.31,437513.52,,,218599.7,,1650002.28,,,877635.72,138845.16,1509754.68,550369.58,,350010.52,
20110221,,3954647.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12536186.34,,,,,,,4578749.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5775409.6,31341312.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565278.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20110307,719260.25,,,,,1357340.25,2670567.23,390372.24,,,2161222.5,222905.14,,,,1683989.0,,,2151718.8,,320678.26,1062082.35,8139385.71,,3509737.83,,,,764973.79,,151516.92,,309869.34,307467.0,549893.12,247382.35,623594.83,,,809421.36,,,,,212558.16,2103626.0,105347.55,1112922.0,,1122090.25,11687075.4,,,509999.22,738777.9,,4623061.94,4447912.06,857566.04,973003.8,1807989.75,,783297.81,,,251467.09,882847.68,661842.96,1211372.75,,,,246027.06,3323385.0,2022903.35,785805.8,2248711.67,1588113.66,,,,688814.1,5657879.81,,246135.24,2769719.2,,251463.8,,10751163.3,,5819356.46,29392556.7,,,,246452.95,1151683.89,727110.69,652238.4,,,762392.96,,,,,,,1875171.84,231711.57,,,675987.95,332394.03,,,297257.47,,,8722240.32,,,365652.48,,1231788.25,22475058.8,,,38819331.43,580735.56,550439.52,23046369.48,268423.8,,,,785660.2,,2356802.9,,1507915.42,,172482.0,,,678652.26,,1625981.28,164128.03,511688.01,718068.4,,,2649331.36,,243109.35,540637.73,287544.08,360789.0,248886.46,,,627063.16,,1333937.94,,,,631304.25,467626.32,,,,,1550834.56,,,823673.6,132873.75,1422891.0,499868.88,,342419.35,
20110320,,4216357.53,,,,,,,,792624.5,,,,,,,,,,1802487.56,,,,1906887.69,,,,1555623.24,,,,362593.0,,,,,,406000.0,757809.57,,,,1854512.49,,,,,,,,,238552.55,,,,,,,,,,,,628630.2,,,,,,475662.26,,852295.18,,,,,,,,314265.2,,,,,,,,,,,,,,,,,,,,,,,,,2476148.4,,,,,,,252380.15,,,,2607432.63,1068048.8,,,10754249.83,,5381820.0,,,950895.0,,,,,,,,,,,,,,738378.0,,,,,,,,,,,,,,,793190.18,,1636653.53,,,,,,601735.2,,,144412.86,,,1105884.15,230625.32,,,,,199263.51,,,,,,,,,,,
20110407,696164.56,4655196.26,,,,1304320.4,2539637.01,436971.22,,804409.565,2228609.6,217504.65,,,,1887940.86,,,2170601.52,1834214.6,309206.2,1127299.92,8080257.64,,3449909.64,,,1494436.68,783805.1,,163494.09,363208.18,323047.95,305472.66,560887.04,311330.46,725785.94,408904.32,701046.4,782357.97,,,1837509.42,,191154.8,2398580.46,107415.72,989819.13,,1309927.6,,249531.98,,520535.4,772388.1,,4789611.54,3965861.34,1008163.16,889353.88,1791934.21,,835068.15,,,272644.26,868371.95,719336.96,1204173.1,518277.73,,990239.89,249112.23,3401601.48,2025978.24,843920.0,2206305.76,1733204.64,,338748.8,,646585.77,5831299.2,,249747.4,2855069.36,,217366.25,,10866068.64,,5745689.2,29001462.8,,,,247849.68,1116719.0,720486.64,657538.56,,,725820.48,,2445892.2,,,,,1930898.06,,207480.0,,684652.02,352761.78,2605988.7,1125350.05,321286.44,,11260804.31,,5634085.49,,375666.48,876343.44,1198035.64,21502360.74,,,,491659.5,522717.6,24522558.58,266048.64,,,,781990.31,757512.85,2472378.48,,1735800.29,,162854.16,,,763880.55,,1754249.72,160504.72,538557.96,714371.77,,811824.64,2675889.04,1555963.25,325219.76,505040.32,249034.08,380841.0,256136.48,611905.32,,652935.4,144515.8,1229436.0,,1222500.6,,716656.7,500897.49,,,212905.62,,1747508.22,,,797803.22,132836.22,1339140.0,556218.54,,382634.84,
20110421,,,,,,,,,,,,,,,,,,,,,,,,1999191.04,,,,,,,,,,,,,,,,,,,,,,,,,,,10700188.8,,,,,,,,,,,,,726384.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8293661.74,,,,,,,,,37614684.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287588.72,,,,,,,,,,,,,,,,
20110508,643242.93,4152997.29,,,,1165617.35,2276930.24,440854.48,,,2057065.2,225865.8,,,,1784976.31,,,2054541.25,,,,7834446.84,1904362.46,3016030.24,,,,768127.86,,134654.52,324263.38,301424.64,309515.0,476938.14,355861.61,654481.55,,,,,,1653917.28,,,2255594.88,,972757.2,,1279078.29,10464866.79,200080.93,,491882.72,850716.6,,4343090.3,3380904.68,1593928.7,820077.5,1679522.04,,,,,228962.04,838823.21,639093.0,1125284.16,,,,228778.44,3054813.86,,,2041150.05,1658055.45,,303984.96,,645915.63,5476764.36,,238370.0,,,163474.04,,9976055.04,,5245488.82,27750489.4,,,,240279.0,,706653.5,554725.68,,,679523.6,,2790538.71,,,,,1772697.51,,184928.25,,665128.55,338668.26,,,308190.39,,,7680876.7,4415505.3,,313116.25,836892.0,1089950.88,20131087.86,,,33875934.4,486727.6,579118.1,23171262.17,237242.4,,,,788033.54,,2358090.57,,1559102.85,,137694.0,,,732771.36,,1675309.13,146429.66,512146.05,685464.78,,,2491261.8,1468407.24,324621.98,496282.95,252277.2,,201462.48,,,646016.32,136184.72,1096477.56,,1158519.49,,736164.59,480773.25,,,204594.46,568846.47,1657077.54,,,776910.56,144337.06,,500183.74,,358298.08,
20110523,,,,,,,,,,719411.92,,,,,,,,,,1753424.4,141750.15,1094495.3,,,,,,1353040.15,,,,,,,,,,353530.0,636707.45,,,,,,168547.86,,,,,,,,,,,,,,,,,,,708329.3,,,,,,499239.52,,948332.16,,,1942387.86,791602.56,,,,,,,,,,2653386.9,,,,,,,,,,,,1005842.34,,,,,,,,,,,,,,,,,,2325599.85,1121374.35,,,10648248.28,,,,,,,,,,,,,,,,,,,738017.55,,,,,,,,,,,,,,,747906.12,,,,,,390185.07,,525288.9,,,,,,,253866.29,,,,,,,,,,,,1274851.6,,,,
