ACV,ADM,ADNT,ALV,APTV,ATVI,AVP,BC,BEAM,BF,BG,BGG,BGS,BLD,BTI,BWA,BYND,CAA,CAG,CCE,CEDC,CHD,CL,CLX,COH,COLM,COTY,CPB,CPO,CPRI,CQB,CRI,CROX,CTB,DAN,DAR,DECK,DF,DHI,DLM,DLPH,DMND,DPS,EA,EK,EL,ELY,ENR,EPC,ERTS,F,FDP,FIZZ,FLO,FOSL,GIII,GIS,GM,GMCR,GNTX,GPC,GPRO,GRMN,GT,GTX,HAIN,HANS,HAR,HAS,HBI,HELE,HLF,HNI,HNZ,HOG,HRL,HSH,HSY,HYH,ICON,INGR,JAH,JCI,JEF,JNY,K,KATE,KBH,KDP,KFT,KHC,KMB,KO,KORS,KRFTV,KTB,LANC,LEA,LEG,LEN,LEVI,LKQ,LKQX,LNCE,LO,LP4018,LUK,LULU,LW,MAT,MATK,MDC,MDLZ,MHK,MIDD,MJN,MKC,MLHR,MNST,MO,MON,NKE,NTY,NUS,NVR,NWL,PEP,PF,PFGC,PG,PHM,PII,PM,POOL,POST,PPC,PTON,PVH,RAH,RAI,REYN,RL,ROKU,RYL,SAM,SEB,SFD,SHOO,SJM,SKX,SMG,SNA,SPB,STZ,SWK,TAP,TBL,TEN,THO,THS,TIVO,TOL,TPR,TPX,TR,TRW,TSLA,TSN,TTWO,TUP,UA,UAA,USFD,UVV,VC,VFC,VNE,VSTO,WBC,WDFC,WHR,WRC,WWAV,WWW,ZNGA
20110607,736307.46,4890564.12,,,,1383144.65,2827237.4,462912.96,,863032.9600000001,2452403.52,268926.0,,,,1977575.72,,,2417298.15,2085521.28,168754.14,1300132.24,9366898.8,2164057.56,3974075.45,,,1568552.23,933118.5,,159804.96,400290.32,388283.88,370597.28,569629.5,427939.05,736330.22,452131.95,777064.6,,,,2005589.6,,165782.52,2595332.0,,1180231.78,,1521995.78,12428582.53,237348.05,,630880.64,994196.4,,5251200.96,4007046.21,1888138.08,971411.1,1921761.9,,,,,275515.01,1053041.85,757359.18,1286039.04,686058.53,,1196228.72,227893.12,3663610.99,1946536.92,955883.82,2546688.0,2011943.73,,,,755128.89,6185178.0,,269983.04,,,177303.53,,12227485.4,,6079633.92,32294046.44,,,,276767.19,1214626.14,866492.11,664308.18,,,812790.16,,3587665.5,,,,,2171561.12,,243415.41,,745997.0,372040.83,3081362.24,1327811.84,333238.14,,12567830.0,8278358.76,5499469.92,,399552.59,933773.79,1241034.72,,,,40850526.2,611132.1,801584.29,28060634.56,340243.44,,,,974896.86,958573.8,2826186.27,,1884264.93,,171299.76,,,,,2013002.05,155238.45,571081.11,805789.65,,,2711298.0,1744860.0,406258.1,617319.39,267926.4,475956.15,251557.02,637905.62,,915081.28,162605.04,1298172.06,,1373080.1,305494.58,897301.31,552677.58,,,232993.98,701204.57,1932562.08,,,1063735.4,161891.5,1471178.78,643213.84,,435646.72,
20110621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980844.15,,,,,,,,,,,,,,,,395954.32,,,,,,3228939.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24644226.37,,,,,,,,,,,,,,,,,,,,820170.72,,,,,,,943671.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20110707,,,,,,1603890.31,3144803.5,480060.24,,,2662257.55,260020.35,,,,2040793.95,,,2760935.1,,,,10676996.93,2406539.6,4638140.28,,,1786393.25,1050582.87,,163646.7,,479989.41,362955.68,621389.16,554373.35,864265.7,625752.04,,,,,,,,3016254.24,,1317015.65,,,,263189.26,,752558.07,1201495.68,,,,2557176.65,994759.55,2156380.0,,,,,316726.32,1247641.45,818991.81,1384183.88,,,1652043.12,225560.05,4313801.24,2135139.28,,2847496.6,2136019.44,,,,795232.8,6566630.4,,266225.98,,,201600.76,,13986915.93,,,35128698.0,,,,300289.28,,931068.18,726136.84,,,937350.68,,,,,,,2356941.53,,,,903740.72,390322.8,,,351500.4,,,,,,543507.36,,1278864.86,27944968.24,,,46319780.0,693911.48,929036.65,31846524.5,371861.28,,,,1009670.85,1184815.62,3325011.3,,2009684.81,,197844.44,,,797755.05,,2337729.36,155816.72,638046.6,871804.96,,,3026346.44,1837356.9,321342.12,,305235.0,,297295.68,,,1036997.76,176010.66,1426072.12,,,,1009131.36,575474.22,,,,707225.31,2105827.76,,,1079936.7,180962.6,,602789.5,,469635.6,
20110721,,4707649.73,,,,,,,,955977.545,,,,,,,,,,2330787.42,196162.08,1460817.0,,,,,,,,,,448903.7,,,,,,,832186.32,,,,2317088.0,,217844.82,,,,,2013702.95,13166347.96,,,,,,5949671.54,4355902.35,,,,,,1047984.84,,,,,,699645.73,,,,,,1042769.49,,,,447687.5,,,,,,3525401.4,,,,,,6908135.2,,,,,,1319998.68,,,,,,,4259250.16,,,,,,,245837.9,,,,3427597.98,1484118.3,,,14432043.68,9496058.88,6200656.8,,,1039924.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012312.08,,,,609967.5,,522962.19,,722230.5,,,,,,1447193.76,338519.06,,,,,247748.75,,,,,,,1575607.6,,,,
20110805,,4412904.75,,,,1234237.28,3045868.0,448575.6,,,2529292.85,248150.7,,,,2205082.26,,,2629755.09,,,1445251.0,10756324.96,2241166.08,4702562.94,,,,1034786.32,,,,549479.25,299838.29,665882.1,513884.1,845262.6,,,,,,2312858.8,,240171.46,3125615.66,,1253564.64,,1967225.2,12807007.43,,,754451.24,1325056.32,,,,2642542.3,1073497.53,2137811.2,,,1001806.26,,297537.84,1428200.85,785991.36,1340699.67,,,,233389.92,4226222.88,2377407.16,,2786041.89,2168998.05,,,,791590.38,6965218.72,,236378.1,3451470.12,,163022.82,,,,,35693307.6,,,,303552.62,,866709.0,702386.85,,,946753.92,,,,,,,2380798.94,,,,824082.63,430515.12,,,385489.64,,,,6545595.1,,519316.5,,1155537.84,,,,44336769.36,642949.76,881133.42,29586521.47,359538.41,,,,1004506.21,,3121240.2,,,,181978.77,,,841579.47,,2209803.96,129422.24,573594.49,903960.64,,,3005061.4,,425875.67,662636.52,274210.72,,304048.92,,,1164605.04,208682.32,1528463.79,,,,1050803.55,758411.1,,,220783.87,788356.84,2314933.44,,,1159241.16,166505.6,,577258.0,,506385.75,
20110819,,,,,,,,,,990944.36,,,,,,,,,,2377411.32,177587.2,,,,,,,1709810.4,,,146032.32,439222.04,,,,,,550653.06,795421.44,,,,,,,,,,,,,259259.07,,,,,5612813.22,4368682.56,,,,,,,,,,,,684457.7,,1701821.0,,,,1070179.0,,,,434607.8,,,,,,,,,,14215445.92,,6515758.08,,,,,,1404010.44,,,,,,,3898634.7,,,,,,,225653.12,,,,3442145.35,1480507.19,,,13703488.75,9781003.44,,,,1071533.96,,27918381.57,,,,,,,,,,,,1183202.28,,,2123351.32,,,,,,,,,,,,969608.22,,1777654.42,,,,485482.9,,759042.52,,,,,,1490290.8,320268.8,,,,,,,,,,,,1541989.84,,,,
20110907,,4413727.92,,,,1239340.16,2832210.48,478033.34,,969863.72,2505647.34,212141.78,,,,2157781.62,,,2590297.84,2273452.47,152034.08,,10307017.0,,4713783.84,,,,946095.99,,131542.4,476504.0,665104.57,255159.24,603087.26,487899.52,945554.75,492274.42,815074.92,,,,2067813.12,,159489.6,3094215.54,,1383863.04,,1839830.25,11256240.27,236006.79,,745696.48,1401220.5,,5590884.15,3953617.44,3054882.6,999495.12,2071751.52,,,959333.76,,287963.31,1339087.74,712982.4,,727083.81,,1631983.08,192434.73,4144610.4,2499003.66,,2782951.08,2137947.2,,417373.7,,706386.06,6132222.0,,279245.2,3454399.62,,140186.88,,13770462.06,,6351161.92,35810325.45,,,,299748.05,1274245.0,766335.5,680498.92,,,885478.23,,3775696.12,,,,,2292040.18,,205117.92,,710157.47,385313.28,3609894.6,1441791.4,324878.19,,13546078.0,9834783.64,,,516738.1,997692.03,1125774.24,25198971.52,,,42571187.23,573411.42,933344.15,31304551.52,321749.0,,,,1090278.9,,2943494.4,,2144911.6,,160630.65,,,841802.58,,2236381.92,147419.1,561266.58,817135.06,,943078.28,2722943.77,1775555.65,422551.25,597103.0,232907.14,457220.56,277328.2,725965.16,,1224890.1,198173.25,1296927.59,,1334840.96,,966845.28,715600.68,,,213196.32,717977.7,2472422.4,,,1051169.6,185055.0,1300347.09,585820.3,,457204.51,
20110921,,,,,,,,,,,,,,,,,,,,,,1426987.16,,2361754.1,,,,1622622.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195938.36,,,,,,,1032896.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6509551.2,,,,,,,,,,,,,,,,,1170950.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282237.78,,,,,,,,,,,,,,,,
20111007,,,,,,1348339.2,2647325.76,377848.31,,,2561157.09,217039.85,,,,2100507.97,,,2684295.24,2428018.96,,1672240.78,11943427.53,,4460944.56,,,1698925.96,946562.68,,124379.84,477528.27,630565.92,199295.9,500858.25,528736.15,923048.96,,,,,,2288020.8,,213336.66,3130295.98,,1408758.72,,2030348.44,,252431.98,,703611.75,1172362.35,,,,3344871.9,996236.11,2331527.52,,,805152.74,,305925.36,1621677.24,673351.14,,,,1774440.0,206096.9,4504352.16,,1071433.66,2854974.32,2412215.85,,380243.6,,718652.88,,,275349.5,3655898.96,,118125.75,,,,,40314871.6,,,,327832.96,1351935.1,853693.68,613901.4,,,1004441.6,,4304488.86,,,,,2511001.5,,192587.76,,734281.45,398635.62,3916612.5,,304507.75,,15219874.4,10026626.73,6799858.75,,631981.76,1017127.0,1089983.04,,,,47914105.6,434980.8,942025.38,33137178.24,338723.59,,,,1105556.1,,3414098.61,,2366929.93,,138066.06,,,912683.04,,2246180.22,155009.3,586459.12,828306.05,,,2788542.18,1874643.75,460359.74,,227368.44,,339539.2,,,1075576.32,194307.12,1163234.38,,,,1119860.0,750053.1,,,,635026.56,2693433.54,,,846884.1,,,636785.6,,477262.28,
20111021,,4496764.16,,,,,,,,1029035.54,,,,,,,,,,,120074.24,,,2499163.2,,,,,,,,,,,,,,419005.44,783592.72,,,,,,,,,,,,11141094.64,,,,,,6167236.71,3730080.78,,,,,,,,,,,1274391.04,738961.44,,,,,2420193.32,,,,,,,,5750004.32,,,,,,,15244241.02,,7303434.32,,,,,,,,,,,,,,,,,,,,,,,,,1537595.46,,,,,,,,,,27552974.06,,,,,,,,,,,,1275349.24,,,,,,,,,,,,,,,995498.58,,,,532440.68,,526435.8,,678747.15,,,,,,1444489.48,300265.86,,,,,256450.7,,,,,,188626.9,1281132.84,,,,
20111107,,,,,,1347532.2,2257057.6,331386.12,,999137.5900000001,2294177.82,181560.89,,,,1772257.87,,,2684714.34,2121791.28,,,11534607.6,,4005163.25,,,,803988.36,,,413694.84,565428.96,182167.92,411831.0,392531.02,962443.2,,669954.4,,,464696.96,,,,2800602.72,,1233392.16,,,,246152.0,,714999.32,1159482.24,,,,3005307.84,919046.7,2141321.6,,,,,297007.1,1650304.74,529130.12,,643557.32,,1696547.2,191204.35,4342743.92,,1043539.42,2419342.2,2452772.96,,308100.0,,695761.2,4792378.32,,212235.24,,,,,,,7458890.4,,,,,324451.18,,755087.45,562410.98,,,943375.52,,4097339.1,317945.32,,,,2373517.53,,166791.24,,632707.95,354202.42,3763349.08,,278348.1,,14926976.89,8583738.68,8618638.41,,634705.28,878790.9,932056.14,,,,46414681.56,355729.1,850089.64,29294770.84,339580.78,,,,961367.68,,3387892.16,,2137456.0,,126106.65,,,805408.5,313220.6,2229049.09,145491.1,504827.4,689532.0,,899712.0,2197323.2,1687623.66,,,281969.5,591499.6,300430.44,577200.0,,944822.99,181285.92,909468.51,354484.26,1428346.08,296248.8,872092.72,699297.3,,,225918.0,592024.0,2815375.36,,,682123.62,168005.28,,529021.02,,437503.5,
20111121,,4091417.1,,,,,,,,,,,,,,,,,,,,1688749.4,,2364664.5,,,,1717552.2,,,100396.92,,,,,,,434567.91,,,,,2249550.24,,52334.56,,,,,1827923.25,9636561.14,,,,,,6224830.7,3115792.0,,,,,,658392.68,,,,,1052911.68,,,,,,2169930.64,,,,,,,,,,,3500699.85,,,,14700148.7,,,38454138.6,,,,,1192276.8,,,,,,,,,,,,,,,,,,,1478181.68,,,,,,,,,,26329288.8,,,,,,,,,,,,1123954.92,,,,,,,,,,,,,,,,,,,412730.76,,,,,,,,,,,,,,,,,,,,,,,1015269.22,,,,
20111207,,5133290.38,,,,1630674.37,2264160.8,449729.56,2184756.57,1146815.2750000001,2614847.64,208882.2,,,,2408746.59,,,3019969.25,2460144.96,,1815488.74,12643034.11,2566881.24,5408488.26,,,1897511.0,1068746.0,,115368.96,,455479.59,255260.29,594092.1,471716.92,1276052.52,513828.36,886782.75,,,413238.75,2336542.95,,74466.57,3376244.3,,1473512.51,,2244939.05,12519768.64,288589.1,,797646.33,1594809.1,,6705953.85,4292935.35,2261525.64,1237751.28,2603933.63,,,1007267.84,,351943.72,1811734.24,861905.2,1321671.56,729446.94,,2123358.0,256180.6,4944856.64,2644733.2,1224183.8,2833012.4,2548680.82,,377650.05,,847866.13,6437024.68,,274580.94,3837688.53,,,,16565065.88,,7876254.06,41827143.68,,,,378897.92,1402046.08,898710.3,741173.94,,,1225297.38,,4405706.58,462733.66,,,,2784718.16,,234483.2,,837187.65,453763.52,4225426.65,1672406.4,344318.1,,16498896.05,11187276.75,10445303.5,,853855.94,1004618.25,1249963.6,28800821.05,,,50564578.05,503330.24,1161908.96,35293572.84,408992.34,,,,1321149.55,1273795.88,3760585.64,,2814552.75,,172489.5,,,1015349.76,414202.5,,156888.52,592210.08,896127.99,,1089696.24,3073228.2,1940315.18,,568837.2,360139.24,629716.44,375844.32,752640.64,,1314851.14,200934.24,1254958.9,460433.49,1707779.8,393253.38,986905.7,958644.37,,,287964.5,826346.34,3444857.06,,,972467.28,200291.0,1111570.37,608496.3,,538074.98,
20111221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552762.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2533187.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20120109,,4568360.64,,,,1291220.46,1801643.0,404798.8,1986726.56,1046499.265,2263125.0,184140.33,,,,1776346.24,,,2575459.08,2049923.72,,1556980.5,10946419.5,2131207.68,4448208.71,,,1592673.0,982714.98,,92108.04,492670.76,341173.47,203720.2,446803.14,412663.29,1034977.5,458449.68,814739.28,,,148934.25,1950373.23,,72453.96,3459881.48,,1232590.84,,1907794.92,9715430.0,242846.11,,666822.33,1176764.65,,5945558.75,3023392.9,1560474.09,1034217.36,2269039.5,,,842435.83,,334454.38,,704330.2,1061766.5,581563.56,,1611442.0,238053.2,4165510.05,2138359.35,1067580.16,2580740.4,2197319.6,,310006.86,,708092.46,5261756.08,,227654.7,2975753.12,,,,14554821.45,,6904716.7,35194568.85,,,,342707.2,1069802.02,788536.92,704348.19,,,1094592.09,,3799991.28,187852.71,,,,2429835.4,,159543.3,,740870.24,419157.76,3789552.96,1431780.0,307139.34,,14691489.13,9658307.75,8915789.82,,688983.68,890230.65,1102992.3,25037312.0,,,43628399.32,506812.28,941286.2,32929428.32,364322.5,,,,1029416.07,1093997.96,3479905.52,,2151590.62,,164011.2,,,933485.33,341872.42,2137925.24,126483.62,459682.34,735180.3,,895775.76,2693098.8,1592264.52,,429969.12,281276.6,578008.31,292724.64,748179.78,,900682.73,166937.64,835083.54,438323.12,1521456.16,296674.65,868015.74,788982.33,,,271724.3,709390.05,2955206.52,,,782058.36,160836.44,916097.38,536046.75,,446353.44,
20120123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1605202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20120207,,4292002.0,,,,1284002.72,1852361.57,393708.0,1937774.75,1059247.7,2072870.8,189272.31,,,,1718302.92,,,2694436.8,1980187.58,,1609791.04,10179253.03,2184698.88,4342873.92,,,1623906.96,981276.81,,,494280.96,324880.92,212994.03,436877.55,381635.64,717234.87,506452.8,861653.91,,,173193.09,2083557.0,1695421.2,,3261997.44,,1323823.28,,,9872665.84,236319.49,,641182.36,1044774.4,,6020362.62,2881623.74,1335363.9,1039851.78,2345061.6,,,852495.54,,329536.74,1718411.0,656190.0,947324.34,516967.14,,1479622.12,238554.0,4280454.36,2262195.13,1040585.83,2725161.12,2355238.94,,292584.69,,678335.76,5230704.54,,222605.0,3064440.86,,,,15058134.8,,7114208.28,35970317.54,,,,338656.56,1002681.4,810570.24,752575.35,,,1080172.8,,3788790.0,203714.07,,,,2314240.16,,157576.94,,813660.75,432866.12,3460005.66,1486179.92,263742.75,,15199331.25,9223454.24,8943039.63,,701447.94,840350.0,1166175.35,25534930.2,,,45122177.03,,894336.48,33933339.36,360387.3,,,,1070249.67,1152369.0,3447220.92,,2095087.84,,171862.8,,,913972.04,331683.0,2201032.69,113879.52,487723.74,,,952638.96,2785390.4,1663140.92,,443185.96,320492.12,574101.78,265763.16,753089.6,,852666.96,163891.08,,383189.52,1563025.92,289251.85,835184.34,697009.11,,,265051.32,633988.3,2709077.67,,,701170.4,150971.76,887979.3,529773.48,,423830.88,
20120221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524203.25,,,,,,,,,,,,,,,,,,,,,724827.78,,,,,,,,,,,,,,833125.6,,,,,,,,,,,,,,,,,,,
20120307,,4348438.92,,,,1303449.52,1907236.33,469650.72,2002636.04,1080129.75,2100549.06,192549.35,,,,2036727.33,,,2754930.99,2082734.97,,1616351.62,10115915.04,2281022.52,5044230.45,,,1568262.4,1050703.15,,,525425.28,422339.1,236246.22,539040.15,442951.92,774623.85,491194.0,960229.44,,,196890.12,2073609.12,1547493.81,,3405415.05,,1335178.56,,,11533236.84,233514.72,,665078.85,1269392.75,,6005647.06,3456045.64,1609214.46,957808.02,2473579.74,,,789555.0,,350204.25,,734870.8,1052292.13,592786.2,,1678867.28,250328.51,,2602967.76,1037144.86,2791687.0,2356771.8,,333810.12,,772107.42,5380249.5,,194478.13,3037160.64,,,,15623221.1,,7004364.36,35134440.87,,,,342655.19,1070754.5,762173.36,830889.36,,,1187096.4,,3612384.82,442162.28,,,,2615656.0,,178835.86,,839359.84,446809.05,3774959.59,1508972.78,304782.72,1973462.33,14734118.8,10930783.05,9766740.8,,728271.0,857550.25,1352096.35,25577873.97,,,43153716.8,624801.7,1038643.2,32718903.38,411320.61,,,,1188417.24,1195004.25,3304460.59,,2334264.0,,200363.8,,,853184.64,399304.84,2245151.22,115337.6,499411.2,816852.05,,977534.8,2926716.54,1658899.42,,482270.4,361634.7,505637.22,310465.8,812008.11,,1093176.77,169437.6,967978.48,393753.15,1429594.8,336180.0,946621.76,780355.62,,,261291.36,615168.0,2839000.59,,,845673.5,164987.28,1026213.44,622576.0,,469275.45,
20120321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4156658.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20120410,,4879836.0,,,,1297961.2,2062777.92,541131.12,2173566.96,1115706.07,2544561.36,214850.02,,,,2324656.08,,,2793315.0,2315641.4,,1748907.16,10700511.66,2314763.57,5549535.68,,,1695088.36,1116719.2,,,631749.99,448648.8,267774.6,602480.0,476629.92,741021.12,575521.18,1022241.24,,,133258.32,2095109.1,1399334.03,,3543835.98,,1360962.9,,,11839452.06,220310.14,,676465.02,1675151.34,,5948661.87,3855019.12,2015629.28,866867.1,2504755.48,,,807788.04,,381159.72,,884880.43,1094743.4,711871.94,,1974911.88,239856.64,4351263.21,2826567.56,1055012.79,3040780.5,2413614.1,,338593.2,,836533.86,5690541.48,,215754.4,3307001.85,,,,15993473.49,,7346304.0,37433991.98,,,,330542.24,1188028.38,831765.65,934592.12,,,1193029.56,,4540349.04,216117.51,,,,2819749.68,,233042.98,,901143.39,472279.68,4079153.75,1548966.35,311619.0,2220916.46,16082791.2,10616458.62,10438346.16,,871425.12,885760.0,1377587.4,25247688.66,,,47603355.52,765584.82,1100559.6,37641211.2,452415.6,218727.36,,,1345793.31,1048279.2,3637217.85,,2748582.33,,205249.73,,,920517.84,431022.76,2212148.4,124533.04,507839.28,913771.24,,1050394.8,3298636.8,1747625.62,,594825.0,395008.96,529632.0,346005.0,903186.54,,1336838.0,167121.0,,465367.89,1491374.97,,976208.68,904893.6,,,275042.78,707975.88,3248005.95,,,1002941.91,167150.4,1473615.0,645281.61,,470800.16,
20120424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1218925.26,,,342356.55,,,,,,,,,,,,,,,,
20120508,,4989995.92,,,,1403405.4,2155794.08,588645.0,2326576.11,1150276.84,2604689.52,232498.31,,,,2387834.08,,,2814783.14,2220647.0,,1817275.36,11314906.04,2344512.5,5774670.72,,,1736674.25,1130285.9,,,649100.34,483252.0,245650.8,585140.5,525195.58,627599.7,574280.42,1089114.98,,,128294.04,2228639.25,1424597.12,,3734362.6,,1254012.9,,,12036250.79,226047.48,,723746.1,1794268.1,,6172820.4,3829647.6,1481455.52,905005.5,2525185.5,,,707970.78,,412646.39,,849227.02,1100241.36,735073.36,,2069692.68,267648.75,4454824.5,2948579.16,1084003.92,3256864.63,2427318.74,,329837.64,,830105.82,5708035.2,,263358.08,3365228.87,,,,17355860.13,,7505376.75,39960959.4,504989.01,,,340208.74,1230404.34,826680.27,1109868.12,,,1175950.59,,4519628.88,435659.69,,,,2947033.98,,244824.47,,950294.88,489306.48,4360882.56,1684880.65,344101.52,2432251.57,16326865.17,11026979.52,10569213.04,,879073.8,935513.04,1350835.07,26819200.8,,,47746992.15,771020.85,1210965.6,39447222.58,469658.42,233407.84,,,1424634.84,1049484.85,3622187.52,,2778122.88,,220274.0,,,859103.91,430834.5,2405896.56,,575341.68,917598.5,,1074618.86,3330367.04,1815203.75,,579800.05,381307.92,549244.5,373284.67,920592.26,,1393010.57,171175.27,1246996.7,524153.0,1482497.25,355408.88,942594.0,959082.0,,,283561.0,705695.0,3270535.92,,,1026829.44,177590.6,1528975.98,610455.2,,463671.78,
20120611,,4955213.41,,,,1434490.2,2453522.4,611926.04,2301350.18,1214736.17,2504083.5,238974.3,,,,2283070.4,,,2822771.5,2386437.72,,1915972.8,11674722.12,2439059.4,5574792.0,,,1772184.55,1139031.72,,,721104.0,475104.0,245688.3,561948.94,502816.86,516935.34,592927.52,1195185.0,,,119631.6,2295042.48,1353686.08,,4017848.7,,1227803.29,,,11084461.2,233484.09,,781037.4,1813699.6,,6205249.51,3501934.0,1575453.75,826313.67,2659348.56,,,705432.06,,453654.3,,915841.76,1120827.18,714981.92,,2158191.12,236882.52,4522500.54,3206363.76,1086524.34,3400022.64,2705863.8,,296430.16,,886148.62,5729407.64,,239547.0,3236024.87,,,,18563790.96,,8127765.66,42019578.72,504059.79,,,339939.73,1118342.0,801027.15,1153318.24,,,1284914.85,,4815647.55,600710.48,,,,3000211.2,,271683.15,,975006.96,499638.28,4613224.08,1767203.28,298008.27,2595996.48,17371175.1,10739627.86,11118535.56,,823804.8,1028529.28,1405531.4,27203154.0,,,46100688.72,878771.04,1357629.6,40632348.42,471672.89,214676.0,,,1441934.4,1050138.63,3639545.37,,2800248.85,,261858.83,,,832258.72,443421.02,2402516.73,,566810.8,958362.96,,1001851.2,3228477.64,1703366.28,,489919.53,416176.66,540536.49,342032.21,992428.8,,988453.16,181122.67,1249437.14,474786.03,1443337.75,331646.1,941451.06,1017394.77,,,283916.85,680154.69,3474038.4,,,1089536.58,179779.04,1301014.44,563653.28,,532639.15,
20120706,,5133732.04,,,,1313283.36,1883737.55,514343.4,2459765.52,1226953.8,2314609.5,223130.7,,,,2077162.5,,,2754453.15,2172466.08,,2007999.84,11622009.0,2398918.4,5149537.7,,,1660604.5,1024558.86,,,721529.47,397723.2,254398.32,516882.6,430064.97,564159.78,760698.32,1218290.6,,,120776.4,2338575.54,1203613.02,,3335531.7,,1259957.71,,,10397259.84,236507.19,,801792.24,1015460.8,,6119747.04,3386454.6,762681.2,838725.3,2591190.0,,,676407.6,,537531.63,,724471.84,1085587.58,711070.78,,1374649.89,226963.31,4511534.6,2957288.4,1123419.6,3230157.7,2704754.44,,289473.52,,859097.1,5411757.56,,205814.0,3127285.8,,,,17853950.02,,8234943.0,41225850.72,434637.06,,,350939.16,1078659.8,764968.05,1139330.21,,1405017.08,,,4407946.8,245442.28,,,,2784640.76,,277578.8,,995485.8,503577.48,4361494.06,1781426.88,281986.32,2906904.0,17394606.87,10904731.6,10772780.76,,662753.28,1055897.6,1426018.4,28020964.4,,,45212635.89,835904.16,1303265.35,38438866.44,472439.63,216985.12,,,1320300.0,921030.15,3736521.2,,2423505.6,,260113.88,,,781036.69,416021.48,2314944.72,,466969.89,927255.24,,899473.41,2929111.25,1575142.7,,431440.65,378286.5,535836.99,270709.46,1070958.24,,781041.42,170016.45,1058823.64,422764.5,1531915.19,270961.92,816911.7,1046483.97,,,279828.15,546720.0,3228405.6,,,899278.24,186558.64,1257525.36,473719.93,,539749.47,
20120720,,4663923.84,,,,1293061.55,1836965.83,517192.72,2589023.19,1321879.125,2428038.0,222857.58,,,,1976423.47,,,2826110.7,2213898.2,,2025653.46,12013972.8,2477697.24,4443018.0,,,1721139.56,,,,697476.0,376456.5,285673.98,492659.79,506704.72,446525.46,820897.09,1344441.86,,,,2436350.0,1082008.2,,3317610.12,,1297084.25,,,9395610.7,234394.89,,838301.01,1044082.14,,6131135.9,2993712.92,697569.84,783501.54,2465430.0,,,757635.12,,542144.0,,730501.2,1031646.33,701929.49,,1478124.72,250624.75,4599569.16,2793508.51,1135456.92,891848.36,2898703.29,,324435.37,984556.64,869898.04,4951195.09,,202280.04,3147352.66,,,,17927867.44,,8650844.13,42919663.85,462206.48,,,375490.33,985809.44,770526.58,1286628.75,,1293882.6,,,4526940.6,,,,,2887938.56,,312945.93,,1014001.43,491376.13,4327895.56,1909201.35,280077.96,2869360.0,18577258.6,11635142.9,8500088.52,,723667.0,1129650.0,1383682.92,29036313.8,,,44236220.0,947046.3,1223237.24,39491956.28,517766.62,219924.0,,,1323985.8,958519.88,3909792.32,,2269532.24,,294911.82,,,857088.75,336645.25,2224064.0,,445823.04,952051.5,,1249414.32,2868653.92,1697479.95,,430246.44,322725.34,585588.29,259810.32,1156229.43,,391805.89,179880.54,1000349.88,457428.51,1483691.02,220522.06,805848.16,1016888.24,,,284466.2,515887.5,3095506.2,,,913413.01,196849.12,1239896.68,458160.8,,493048.92,
