ADM,AVP,BEAM,BF,CAG,CCE,CHD,CL,CLX,COST,COTY,CPB,CVS,DF,DPS,EL,GIS,GMCR,HNZ,HRL,HSH,HSY,K,KFT,KHC,KMB,KO,KR,KRFTV,LO,LP4010,LW,MDLZ,MJN,MKC,MNST,MO,PEP,PG,PM,RAI,SJM,STZ,SVU,SWY,SYY,TAP,TSN,WBA,WFM,WFMI,WMT
20150123,5980778.0,5577993.0,,5778313.0,5647777.0,5855971.0,,5757263.0,5981098.0,5865809.0,,5743454.0,6113662.0,,5835003.0,5955811.0,5880120.0,5517975.0,,5865791.0,,6045565.0,5719720.0,,,5867286.0,5892000.0,5907991.0,6047723.0,5713179.0,,,5604982.0,5846604.0,5897373.0,5874625.0,5656706.0,5706664.0,5816510.0,5509490.0,5704401.0,5824677.0,6134823.0,,5721102.0,5769207.0,5833408.0,5585192.0,5752118.0,5879045.0,,5838039.0
20150220,5285079.0,4560738.0,,5802273.0,5450918.0,5511885.0,,5563533.0,6061092.0,5860255.0,,5907629.0,6167688.0,,6220397.0,5463612.0,5692557.0,5081058.0,,5679494.0,,5862755.0,5646733.0,,,5415595.0,5686424.0,6338312.0,6234291.0,5926409.0,,,5348790.0,5691821.0,5565527.0,6289920.0,6043566.0,5593410.0,5317989.0,5370228.0,5973790.0,5876666.0,6878027.0,,,5627940.0,5929279.0,5407369.0,5593775.0,6093071.0,,5731409.0
20150324,6447850.0,5958320.0,,7110080.0,6395451.0,7186420.0,,6934430.0,7334567.0,7153516.0,,7149312.0,7756849.0,,7533345.0,7599660.0,6932616.0,6288525.0,,7708654.0,,7070199.0,6597475.0,,,6533428.0,7105446.0,7760653.0,7262741.0,7343810.0,,,6660252.0,7190584.0,6983524.0,9014529.0,7612091.0,7016768.0,6383519.0,6598719.0,7899863.0,7811193.0,8484903.0,,,6655627.0,7042426.0,6797920.0,7488516.0,7850211.0,,
20150409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6723129.0
20150422,7240031.0,,,7242060.0,7686288.0,7551791.0,,7156462.0,7200617.0,7215235.0,,7243632.0,7110378.0,,7342262.0,7378818.0,7637290.0,6460763.0,,7338052.0,,7249715.0,7450213.0,,,7202207.0,7175203.0,7149849.0,10389545.0,7015951.0,,,7476314.0,7222994.0,7663973.0,7324180.0,6951628.0,7235298.0,7146358.0,6997011.0,7029709.0,7459334.0,7100521.0,,,6957927.0,7039535.0,7273015.0,7262117.0,6828021.0,,7121521.0
20150521,7338174.0,,,7138211.0,7446761.0,7459697.0,,6947655.0,6837120.0,6716907.0,,6881136.0,6769028.0,,6813754.0,7104609.0,7395069.0,6358138.0,,6855855.0,,6349709.0,7078415.0,,,7267267.0,,6252250.0,9578650.0,7239349.0,,,7783270.0,6788254.0,7278155.0,7125889.0,6781056.0,6946652.0,6773383.0,7394888.0,7324564.0,7254729.0,6931880.0,,,6736432.0,6850903.0,7272890.0,7012745.0,6174073.0,,6598471.0
20150605,,,,,,,,,,,,,,,,,,,,,,,,,,,7041678.0,,,,,,,,,,,,,,,,,,,,,,,,,
20150619,7588250.0,,,7139964.0,7606516.0,7117785.0,,6560167.0,6683850.0,6447443.0,,7122221.0,6664541.0,,6696636.0,7327837.0,7195282.0,4720314.0,,7027240.0,,6238434.0,6715945.0,,,6917908.0,6877464.0,6459707.0,9213875.0,7226334.0,,,7823614.0,6504848.0,7308267.0,6359508.0,6702637.0,6867026.0,6468317.0,7239641.0,7332795.0,7182757.0,6821884.0,,,6442224.0,6627227.0,7550937.0,6858937.0,5196520.0,,6095180.0
20150721,6548020.0,,,7129945.0,7995180.0,7012938.0,,6921096.0,6987512.0,6860387.0,,7056524.0,7190395.0,,6994258.0,6937181.0,7161338.0,6328015.0,,6992442.0,,6772436.0,7066642.0,,,6973243.0,6919020.0,7116454.0,7096218.0,,,,7079614.0,6939516.0,7307662.0,7341649.0,7107633.0,7011122.0,6967017.0,6864019.0,7313889.0,6829513.0,6728850.0,,,7076501.0,6805645.0,7245396.0,6951710.0,6889963.0,,6917204.0
20150821,6902445.0,,,8144382.0,8737184.0,7799737.0,,7687936.0,7997915.0,7843937.0,,7883804.0,8274672.0,,8131671.0,7711914.0,7947937.0,6632044.0,,7872537.0,,7640559.0,7969315.0,,7004423.0,8041826.0,7604447.0,8155360.0,,,,,8381561.0,7385758.0,7982893.0,8881629.0,8453206.0,7724048.0,7351669.0,7813604.0,8881629.0,7456825.0,7397891.0,,,7317002.0,7215024.0,7994737.0,8501739.0,6697044.0,,7464047.0
20151021,8767250.0,,,9091091.0,8798188.0,8904454.0,,9319091.0,9546083.0,9324808.0,,9370543.0,8571869.0,,9365835.0,9429392.0,9002985.0,8070470.0,,9160366.0,,9266631.0,9077976.0,,8584984.0,9474454.0,9517835.0,8737657.0,,,,,8748418.0,8425586.0,9188613.0,9272684.0,9437127.0,9290171.0,9666136.0,9056118.0,9427375.0,8873179.0,8867126.0,,,8847622.0,10818916.0,8823073.0,8304187.0,8821392.0,,9027870.0
20151120,14498125.0,,,15018911.0,13230402.0,14235874.0,,14566608.0,15090579.0,15236569.0,,13976808.0,13229871.0,,15896974.0,14312320.0,13990611.0,11329879.0,,14881415.0,,13219784.0,14314974.0,,14373901.0,15645871.0,15102789.0,13781978.0,,,,,14705165.0,14742326.0,14123329.0,13952919.0,15634192.0,15164370.0,15177642.0,15119246.0,15572611.0,13745879.0,14387173.0,,,14039451.0,17271933.0,13907795.0,12735098.0,12610874.0,,12038593.0
20151221,11838256.0,,,15406093.0,13896391.0,14619950.0,,14943301.0,15883708.0,16118672.0,,14942752.0,12960376.0,,16474962.0,15514242.0,14380594.0,11606586.0,,16898776.0,,13261219.0,14378947.0,,14064929.0,16152160.0,15731639.0,14171980.0,,,,,14470627.0,15077252.0,14795624.0,16384379.0,15268298.0,15286964.0,15382487.0,15297943.0,15436836.0,14759392.0,15693211.0,,,14461294.0,18718653.0,16207058.0,12946103.0,12658985.0,,12880774.0
20160122,13335681.0,,,12544334.0,13404748.0,12558925.0,12713596.0,12812332.0,12597836.0,12583245.0,,12424683.0,13098812.0,,12949006.0,13038014.0,12472349.0,12530229.0,,12724782.0,,12824005.0,12913013.0,,13091516.0,13428580.0,12753966.0,12743751.0,,,,,13178579.0,12665444.0,12775853.0,12417388.0,12884803.0,12796767.0,12736942.0,12750074.0,12960192.0,12715541.0,12897935.0,,,12539470.0,12620210.0,12669335.0,13082275.0,12284605.0,,12855133.0
20160219,12363544.0,,,11628435.0,12550842.0,11665519.0,12046217.0,12365422.0,12415180.0,11580554.0,,13017444.0,12685565.0,,12561169.0,12224596.0,11856103.0,12586987.0,,12404384.0,,12106772.0,12799634.0,,13669466.0,13061569.0,12485124.0,11433626.0,,,,,12065933.0,11031335.0,12290315.0,11558961.0,13096306.0,12302989.0,12705750.0,12794470.0,13400020.0,12939990.0,13249806.0,,,12051381.0,11873471.0,12383729.0,12041523.0,10605103.0,,13509864.0
20160321,15643910.0,,,15394476.0,16475355.0,15452738.0,16838277.0,15641482.0,15616600.0,14391887.0,,17999873.0,16117287.0,,15679717.0,16712650.0,15629344.0,15906088.0,,17076787.0,,15947357.0,16119715.0,,17187242.0,16950553.0,15705206.0,14777265.0,,,,,14653459.0,14484135.0,17164787.0,13439670.0,16772733.0,15481262.0,16048101.0,16301176.0,17364455.0,16296928.0,15799882.0,,,16271438.0,14147309.0,19094710.0,14989071.0,14067806.0,,17241255.0
20160421,18031019.0,,,18140886.0,18468451.0,18285340.0,18249396.0,18643424.0,18246683.0,18603411.0,,18068319.0,18683437.0,,17807895.0,18275167.0,18686828.0,,,18174795.0,,17859437.0,18334848.0,,18477946.0,18370114.0,18574249.0,17765169.0,,,,,17212444.0,20319908.0,19074074.0,18155806.0,18186324.0,18268385.0,18224981.0,18433185.0,17809251.0,18113080.0,19225310.0,,,18335526.0,18722772.0,17990328.0,18517959.0,17384026.0,,18458278.0
20160520,21467261.0,,,19354172.0,19986786.0,20504843.0,20042240.0,20404150.0,19486970.0,19083469.0,,18965995.0,19694923.0,,19644576.0,20251652.0,19759133.0,,,17397960.0,,19747458.0,20004298.0,,19953951.0,18494636.0,19497185.0,18018169.0,,,,,19951033.0,22739785.0,19570881.0,21183425.0,19889012.0,19989704.0,19273910.0,20001379.0,19097333.0,19282666.0,21617571.0,,,19770807.0,20339940.0,19128708.0,19158624.0,17311131.0,,19579637.0
20160622,24707801.0,,,21011696.0,21598756.0,,22571576.0,21592632.0,21447207.0,20427697.0,,20005963.0,20210324.0,,21175491.0,20668032.0,21540585.0,,,16694853.0,,20896121.0,20628997.0,,22857835.0,20177412.0,20720845.0,19330882.0,,,,,22113103.0,23088219.0,21709738.0,23510719.0,21577324.0,21052262.0,20835654.0,21497723.0,20531791.0,20865505.0,23248953.0,,,22204950.0,22674139.0,20108526.0,19789356.0,20278445.0,,22031971.0
20160721,21079790.0,,,21310205.0,22115079.0,,21819958.0,21735526.0,22383370.0,22122180.0,,21852311.0,21307049.0,,22252380.0,21377278.0,22630355.0,,,22167948.0,,21984089.0,21662929.0,,22004606.0,22434661.0,21079001.0,21599802.0,,,,,20820179.0,22820526.0,22441762.0,22429137.0,22372322.0,21777347.0,21994348.0,21237609.0,22559337.0,22541188.0,22668232.0,,,22459122.0,20702605.0,23128272.0,22005395.0,19983742.0,,22218450.0
20160819,23240309.0,,,22169052.0,22091306.0,,21814694.0,22892498.0,22064299.0,23947388.0,,22026654.0,21278656.0,,23693691.0,22511134.0,24378673.0,,,23832815.0,,25490031.0,23477639.0,,22450574.0,21940724.0,21043781.0,20601857.0,,,,,21669022.0,23615945.0,22718183.0,23209211.0,22705908.0,23390891.0,22813934.0,21954636.0,21712396.0,23697782.0,23809082.0,,,23552111.0,21847429.0,26950018.0,21317120.0,19703278.0,,22752555.0
20160909,20743876.0,,,21174945.0,20383400.0,,20565891.0,21343918.0,20487788.0,21604512.0,,20009407.0,19824663.0,,20873797.0,20273755.0,22272143.0,,,22514713.0,,21349175.0,21622535.0,,21295103.0,20216680.0,19421381.0,18050822.0,,,,,20527590.0,20643243.0,20979687.0,20701069.0,20581662.0,21282337.0,21734433.0,20391661.0,20010158.0,20011660.0,22381787.0,,,21991272.0,20538855.0,25727453.0,20164862.0,18569757.0,,20710832.0
20161021,18218405.0,,,19041723.0,19678226.0,,18497960.0,19060404.0,18700120.0,18034260.0,,18241757.0,18035594.0,,18610716.0,18289795.0,18040932.0,,,19389998.0,,18133672.0,18459930.0,,18988348.0,18770175.0,18327158.0,17256311.0,,,,,18891604.0,18590700.0,18660755.0,18159025.0,18217738.0,19094431.0,18857577.0,18477277.0,18423901.0,18273782.0,18589365.0,,,18147016.0,19727599.0,19089761.0,17609257.0,18052274.0,,18541995.0
20161107,16882503.0,,,16434810.0,18066644.0,,16567056.0,16349276.0,15764485.0,16173960.0,17905887.0,16053847.0,14823602.0,,15982871.0,16067193.0,15424772.0,,,17272566.0,,17327163.0,15745679.0,,16677462.0,15159675.0,16258888.0,16147268.0,,,,,17479427.0,15985298.0,16142415.0,15874285.0,16869764.0,16744192.0,16390527.0,16064766.0,18889234.0,15792996.0,16648951.0,,,15683196.0,16780589.0,15706248.0,15916749.0,16359588.0,,16204291.0
20161212,15434407.0,,,15551961.0,17095622.0,,14347717.0,14237890.0,14516047.0,15246761.0,14241753.0,15911799.0,12575570.0,,15100508.0,13615348.0,14608766.0,,,14936594.0,,15475247.0,14476310.0,,14709763.0,14369242.0,14761642.0,15928908.0,,,,,15443237.0,14170006.0,14686583.0,13960284.0,15549202.0,14835596.0,14573444.0,14085014.0,17673461.0,14200360.0,14546953.0,,,16408508.0,14974675.0,12369712.0,15644680.0,16230797.0,,15393566.0
20170123,13467186.0,,,13450943.0,14132652.0,,13695099.0,13556016.0,14296100.0,13768194.0,13126077.0,14050420.0,13524545.0,,13864638.0,13181406.0,13421502.0,,,13903216.0,,14160062.0,13844334.0,,14311328.0,13680379.0,13558554.0,13627588.0,,,,,14512338.0,13188005.0,13866161.0,13828598.0,14013366.0,13879359.0,13687485.0,13927581.0,13956007.0,13476323.0,13783929.0,,,13789005.0,13496627.0,13680379.0,13155518.0,13186482.0,,13547387.0
20170221,12883202.0,,,13476208.0,13798009.0,,13895663.0,13227773.0,14181035.0,13891615.0,13372482.0,14342947.0,13344148.0,,13723125.0,13790420.0,13460016.0,,,14334852.0,,14234668.0,13506566.0,,14447685.0,14295385.0,13391203.0,13129613.0,,,,,14393039.0,12933800.0,14037337.0,13094701.0,14621741.0,13602196.0,13974596.0,14455780.0,14749247.0,13966500.0,13197920.0,,,12997047.0,13102796.0,13732738.0,12816919.0,12683847.0,,12882190.0
20170321,13260305.0,,,14477113.0,14476057.0,,15216700.0,14915797.0,16100931.0,15132236.0,13318374.0,13574405.0,13823045.0,,14132922.0,14165124.0,12902917.0,,,13710603.0,,14621757.0,13747556.0,,14712556.0,15751990.0,13500499.0,12605182.0,,,,,14195742.0,16220764.0,14351473.0,13004801.0,15313833.0,14359919.0,14658710.0,16393915.0,15200863.0,14696191.0,14055849.0,,,13039643.0,13674706.0,13702684.0,13735414.0,13208571.0,,13930209.0
20170424,14399275.0,,,14053002.0,13848339.0,,14066956.0,13870562.0,13786320.0,14273169.0,13416273.0,13568219.0,13794072.0,,14453541.0,13992016.0,13714481.0,,,13719649.0,,14059204.0,13752209.0,,14004420.0,13893819.0,14167737.0,14250946.0,,,,,13882449.0,14266451.0,13670551.0,13895887.0,13257607.0,14398758.0,13933615.0,14448373.0,14584815.0,13233833.0,14499022.0,,,14024576.0,13841103.0,13644193.0,13680370.0,14105201.0,,14364131.0
20170522,13618517.0,,,13672808.0,12709022.0,,13270857.0,13006874.0,12975495.0,14386059.0,12529215.0,13030782.0,13747520.0,,12972009.0,13619015.0,12727451.0,,,13410319.0,,13315684.0,12830554.0,,13245455.0,12994422.0,13679283.0,13791351.0,,,,,13764953.0,13556257.0,13347561.0,12993924.0,12584502.0,13860086.0,12852469.0,13438212.0,14274489.0,12178566.0,14680425.0,,,13587138.0,13237984.0,13553767.0,13545797.0,16703628.0,,14378588.0
20170621,13050404.0,,,15481006.0,13143039.0,,14378866.0,14303074.0,13645686.0,15095731.0,13791480.0,13651475.0,13328307.0,,13644107.0,15293631.0,13038825.0,,,13244094.0,,14800985.0,13486207.0,,14105700.0,13447259.0,14994675.0,14414131.0,,,,,14757825.0,14214124.0,14436763.0,15116784.0,13708846.0,14827301.0,13398836.0,15150995.0,15361528.0,12784080.0,15989969.0,,,14506239.0,13694635.0,12728289.0,13069878.0,16676306.0,,15561535.0
20170807,14127778.0,,,14490068.0,13601692.0,,14283409.0,14291063.0,14195643.0,12851088.0,14738058.0,13435345.0,14711524.0,,14529358.0,14497722.0,14070117.0,,,14271163.0,,13667006.0,13814473.0,,13799676.0,14637025.0,14452818.0,11033005.0,,,,,13809371.0,,13345027.0,14572221.0,14406384.0,14518132.0,14419651.0,14237485.0,14544666.0,13565973.0,15566222.0,,,13200622.0,14452308.0,14807454.0,14137473.0,17205712.0,,13972146.0
20170828,14724489.66,,,14740219.0,12958025.28,,14765306.05,13977270.2,14277689.93,12889399.16,16030658.56,13706162.37,14708718.6,,14629721.44,15070237.6,14301169.08,,,14415434.58,,13547604.95,13727772.0,,14124440.16,14029155.6,14836849.44,11685398.32,,,,,14154146.78,,13390126.5,15460075.5,12629518.3,14753263.98,15111358.16,14252275.07,,14061774.5,15668697.3,,,13985501.46,14933780.34,15298588.8,14610547.05,17144233.92,,14773673.06
20171006,14589926.72,,,16008055.44,12425460.78,,14044639.97,14028114.96,14987006.58,12891865.0,13126982.88,12123757.8,14395526.22,,14779873.35,16475176.12,13841688.14,,,13117311.32,,13652400.24,13366735.62,,13190512.5,14205227.22,14912295.65,10542192.93,,,,,13223933.12,,13519685.34,16547727.36,12465898.2,14810083.83,15528948.73,14443193.6,,12223396.8,16401796.8,,,14159592.12,15235960.0,15459632.4,14930392.5,,,14584647.05
20171020,14079014.43,,,14024929.8,13723576.3,,13841099.1,14233797.25,13808866.44,14654503.71,14083741.83,13710534.7,14313865.08,,13564928.16,13907154.24,13122298.72,,,14272474.08,,14164479.99,12786099.48,,13316188.05,13978854.16,13641585.79,13366298.96,,,,,14042866.18,,14756758.08,13765979.5,14300702.64,13592119.97,13751263.08,13307212.74,,13743101.82,13827669.05,,,14305489.9,12981168.2,15118217.75,13313731.86,,,13900559.02
20171207,13671932.0,,,13874627.0,13150336.0,,12345322.0,13037678.0,12648255.0,13777936.0,12299638.0,13089572.0,11619257.0,,12572411.0,13782815.0,12383466.0,,,12911271.0,,13099773.0,11638329.0,,12463745.0,12743615.0,13401820.0,13261219.0,,,,,13088241.0,,13581007.0,13655077.0,13928738.0,12900183.0,12573298.0,12100048.0,,12868248.0,14247195.0,,,13986397.0,12104926.0,14787863.0,11016051.0,,,14914714.0
20171221,12204875.2,,,14272466.0,14030629.82,,12430912.38,13080485.25,13474078.86,15201642.75,13565213.46,13340333.5,12458990.0,,12778479.96,14875616.61,13250198.08,,,14957148.15,,13299730.49,12532953.44,,12910977.9,13145576.16,12818391.97,15922260.6,,,,,13704000.42,,13575021.72,14428890.12,14133397.95,13133435.28,12568633.33,11381720.25,,14120336.76,13939250.58,,,14145235.52,11475076.8,16310010.5,11591977.68,,,15982861.86
20180122,13066921.68,,,13978808.55,13685661.68,,14027983.53,13925957.4,13860039.42,13392450.72,15139074.6,13300923.59,13423592.5,,13950919.1,13705911.08,14368990.79,,,13224126.0,,13569552.95,13827811.8,,13408856.64,13594762.2,13703300.76,13923655.65,,,,,13580654.0,,13633010.25,13547857.4,13508344.06,13921992.48,13759121.88,13413429.65,,14174665.84,14190311.31,,,13120291.39,13858832.62,13120044.52,13735346.8,,,
20180209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13840997.5
20180221,14220229.6,,,14326319.7,14020138.0,,13871201.75,13915619.84,13408266.39,14239930.38,15157941.7,13069657.3,14796159.39,,17421400.15,14763409.36,14395441.82,,,12669417.84,,13394392.99,14069618.92,,13727578.41,13387257.0,14434951.21,15639043.2,,,,,14307322.8,,14776948.35,14832315.01,13512736.04,14183129.4,13130414.52,13825592.82,,14701982.96,13837144.56,,,13793740.87,14408673.82,12508830.72,14455865.54,,,15173550.6
20180321,13746773.76,,,14427547.12,13330199.63,,13967746.45,12927805.77,12214969.48,13949826.6,14933780.4,12086976.3,12735271.9,,16968896.25,15144090.04,12441264.9,,,11979298.08,,11929058.78,13675066.4,,11741728.95,12691577.32,13109533.62,13970054.4,,,,,14146204.3,,14506596.9,13775750.82,12093072.7,12936947.54,11941164.56,13351115.7,,14633623.2,13585583.04,,,13087269.65,13076188.75,12224501.76,13232322.31,,,12812113.41
20180423,13795823.52,,,13610771.2,13346466.32,,13710862.52,13858611.2,13934753.46,13761796.62,12992579.1,13678900.47,12369587.56,,13823587.74,14216662.6,12062787.3,,,14001942.24,,13581270.4,12745925.61,,12761290.01,13550395.2,13346212.72,13693488.48,,,,,12983287.98,,13255768.44,13571928.3,13074736.0,13358322.75,13600008.32,12641592.6,,13146920.15,13627564.72,,,13476909.4,12794800.5,13318384.3,12772542.3,,,13811969.71
20180607,14128972.24,,,13723803.72,13130712.98,,12311514.6,12344059.97,12008898.0,14094771.24,12056792.6,12606525.3,,,13711068.12,13763928.87,11461148.46,,,14475712.5,,12350300.2,11303263.4,,11305655.88,12469736.36,12997092.69,14102823.02,,,,,12028777.0,,12855698.19,12770835.0,11522300.72,12091804.48,12146537.06,10207524.0,,11837739.36,13644632.64,,,13758549.84,11843792.48,12485721.3,12688893.3,,,13441850.84
20180710,13033412.92,,,13262301.92,12569047.24,,11979480.3,11431466.37,11854510.47,13569528.0,8816179.0,9957137.24,,,,13298815.04,10610053.52,,,13722613.28,,11580854.76,11831469.33,,11036160.0,11629416.9,12384043.0,13042218.15,,,,,11450307.33,,11794174.0,11374198.16,10959654.54,11498474.5,11763540.9,9480293.06,,10680662.5,12501403.2,,,13698114.29,9813693.6,11506333.8,11407138.04,,,12009074.76
20180720,,,,,,,,,,,,,,,13055953.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180807,14281957.07,,,12931925.63,13232391.12,,15418101.12,14300780.17,14914152.75,14335819.02,14188054.5,16640737.58,,,14148462.0,13031306.94,14416588.5,,,14362836.74,,14173224.12,15328429.95,,15016367.16,14257136.96,13947962.46,15679847.65,,,,,14405391.0,,15679695.85,14435417.1,13754140.47,14846384.16,14136275.7,14209432.6,,14653178.32,13459191.78,,,14428857.52,14961587.76,13601110.95,13230726.86,,,14190492.0
20180907,15326893.4,,,14311177.32,13855198.33,,16522866.1,15069208.8,15190134.26,15288922.55,13751700.21,17109451.6,,,,12558460.98,15289570.94,,,14149518.9,,15243468.73,15880461.22,,14677562.75,15704595.94,15112503.22,16288401.0,,,30281.84,,15532989.84,,16179263.46,15409534.8,14483338.92,15982585.0,14926808.4,15477818.7,,15438790.56,13175324.33,,,14472194.88,15014834.0,11606559.2,15192050.16,,,15066217.81
20181005,17096536.8,,,14998419.52,14814733.5,,17862588.9,15951150.72,17401804.42,17406651.45,13538031.6,17626654.5,,,,13928628.6,16312983.53,,,16449146.55,,16664507.16,17143380.21,,15161795.73,17021583.88,15428440.34,18897354.0,,,,,16338264.0,,18360107.36,16697377.58,15427393.52,16627100.43,16351269.9,14920764.18,,15341592.0,13936908.0,,,17207851.8,15975019.88,13506411.16,16452206.08,,,17287775.84
20181107,17096536.8,,,14998419.52,14814733.5,,17862588.9,15951150.72,17401804.42,17406651.45,13538031.6,17626654.5,,,,13928628.6,16312983.53,,,16449146.55,,16664507.16,17143380.21,,15161795.73,17021583.88,15428440.34,18897354.0,,,,,16338264.0,,18360107.36,16697377.58,15427393.52,16627100.43,16351269.9,14920764.18,,15341592.0,13936908.0,,,17207851.8,15975019.88,13506411.16,16452206.08,,,17287775.84
20181207,16431518.25,,,16166728.48,16196148.8,,17349279.51,15241643.85,17064772.85,16903073.16,15414752.7,15766556.73,,,,16971091.2,15962515.8,,,18124477.52,,17595637.25,15225606.04,,16221482.09,15586070.5,18117073.8,18628688.64,,,150288.95,,16678737.96,,18942480.0,15449112.0,18234419.28,17069285.82,18457234.44,19319211.34,,16969519.52,16349411.49,,,16878960.56,17638720.0,16446661.84,19751690.16,,,18448511.6
20190108,15462489.9,,,16084694.08,14201593.56,,18687753.65,15707416.16,18395247.78,16520330.4,11762018.76,15961848.0,,,,17019195.34,14897520.24,,,18093083.94,,17182444.8,14285415.05,,14560765.2,16656774.49,18425332.8,17938012.08,,,,,17266022.8,,19063650.0,16855482.08,14852021.42,17894085.3,19005110.41,18338562.49,,15818424.58,15521223.12,,,15394699.2,17513498.68,15632891.55,20263478.41,,,17356506.3
20190122,12864539.03,,,14162282.16,10010064.96,,13402216.8,12793109.76,13123787.88,13780981.5,12570344.16,11800490.01,,,,13481092.1,14592064.08,,,13413513.08,,13917858.9,13230082.66,,12702997.76,13592358.36,13442570.3,13035742.5,,,3142001.47,13588150.32,12875329.26,,12868003.84,13084989.34,13120255.94,13580974.96,13323344.4,11335046.88,,12850107.01,12427204.68,,,13410430.54,12688060.32,13526273.4,12155633.68,,,14205747.6
20190307,12383958.8,,,12353701.5,8907867.96,,11566417.59,12211131.24,11096301.54,12754173.12,13061290.56,11131857.99,,,,12417084.82,14627692.64,,,11682774.56,,12101766.0,12028716.42,,12459699.18,11671064.68,12002418.75,11795847.09,,,166720.33,11731253.4,13069282.68,,10036477.0,13366055.16,11515131.6,12165881.26,12281981.58,11442250.96,,12662791.68,11787693.48,,,12003225.35,13218754.5,13776828.48,11291347.6,,,12836907.65
20190405,11902337.5,,,13167556.85,9768005.64,,11960663.4,12655668.97,11999850.02,13198334.12,18838908.0,11491352.54,,,,14533585.64,15785722.2,,,12154024.8,,12847291.68,11644582.28,,8737001.98,12430478.34,11480632.08,12400108.07,,,184151.05,11419099.74,13557179.52,,11208015.52,15165433.53,12417291.66,12678653.96,12768433.65,13166019.72,,13013161.7,11658845.52,,,12923193.15,12451743.72,13959330.72,11295290.16,,,13493425.89
20190422,12037022.31,,,12369573.58,14443191.62,,12693755.84,12270373.5,11894257.96,12434857.56,12231089.5,12384624.0,,,,12412442.35,13003429.5,,,12180986.4,,12076900.76,12303993.4,,11899782.25,12509067.9,12226336.32,11761456.8,,,2022104.41,12523148.46,12538206.72,,12858529.95,10535359.08,12134556.99,12442501.5,12369880.2,11825079.37,,13298591.5,12342881.34,,,11873599.8,11738642.8,12938558.22,12357516.78,,,11692091.46
20190522,12848769.4,,,12891970.09,16542988.02,,13787502.2,13451664.79,12222220.14,13015545.3,11879072.42,12971905.82,,,,13297234.95,13350288.6,,,11219864.92,,13554215.4,13347284.4,,12505586.04,13379378.46,13213231.68,12723203.4,,,475894.8,12083554.95,13183777.8,,13567682.43,11875419.2,11849861.97,13420408.3,13067012.64,11953849.44,,14449860.79,15381635.56,,,12919439.41,13039556.6,14429373.66,10800461.98,,,12726450.0
20190705,11212048.8,,,12334064.4,14655236.5,,13948377.73,13106452.34,11564620.34,12953132.28,13813099.84,12415986.64,,,,12695444.17,13063481.76,,,11266773.43,,14593588.36,11866786.56,,10565037.35,13577825.52,13479896.36,11433307.21,,,100502.09,10380244.5,13430095.2,,14006774.56,12572859.42,10867624.02,13665920.0,12879803.96,10818022.41,,14593642.68,13061005.45,,,12884067.48,11343143.72,14873529.32,10103055.76,,,12749384.96
20190807,14628309.6,,,14408973.07,12980187.48,,13847646.28,14289779.61,14273220.42,14855904.42,14430875.4,13866824.55,,,,15139901.02,14381026.4,,,14310538.92,,14171125.93,13834452.5,,14976955.2,14160466.88,14513574.84,13087504.43,,,,15015749.76,14319235.7,,14476228.89,15220901.8,13615445.15,14448427.92,14420839.05,14876644.67,,13661649.19,15350291.36,,,14315000.96,15166368.0,14415804.04,15208920.65,,,14815162.14
20190906,14521245.96,,,14047145.28,13931362.85,,14097321.92,14102290.5,14944403.4,15276792.75,11583834.33,14104835.94,,,,15014616.23,14337734.93,,,14265585.74,,15817681.08,14823568.86,,15227445.09,14209337.5,14789714.19,12576276.72,,,129729.49,15682789.36,14010154.29,,14597411.96,15156961.47,13344297.93,13884255.92,15305656.6,15615923.31,,13001557.89,15124829.72,,,13684309.19,14416085.86,13994464.5,14945353.73,,,14591904.86
20191007,12512628.35,,,14064572.77,12731286.12,,13869114.76,13559958.8,13523154.48,15198120.36,9433012.5,14283360.0,,,,15014571.65,13511601.0,,,13795711.87,,15368598.0,14875122.0,,11293850.48,13750887.28,14388776.96,13092956.16,,,,15300392.74,13455070.86,,13950629.85,12831891.71,11535856.38,13817933.8,14502863.98,12525781.68,,11439304.8,14608981.5,,,13799810.48,12757875.36,15236323.44,13061538.02,,,14051923.32
20191021,14138388.57,,,14011930.98,14719773.12,,14980208.76,14898712.76,13693662.29,14145048.56,14129465.33,14529341.04,,,,14635159.9,14636509.68,,,14581156.28,,14950490.39,14557385.7,,13686809.12,15374497.65,14378638.36,14085263.92,,,,14444373.6,14659689.36,,14256279.3,14136390.74,13952503.3,14400572.7,14596366.14,14896175.19,,14803411.04,14556652.56,,,14536155.0,14413755.0,14494260.96,14157092.29,,,14483707.2
20191206,14898009.08,,,15053547.6,13359886.8,,14334552.7,14312566.8,13708438.11,15015939.4,16178059.87,14762238.7,,,,14105482.02,13902530.14,,,14035165.38,,14584044.13,14794612.28,,16306023.46,14805090.96,14798809.41,13858373.76,,,406610.01,15956994.88,14307940.4,,15087666.17,14068479.33,15728949.09,14831780.59,15041430.55,16447052.32,,14637736.8,13759526.69,,,15052220.33,13604185.12,14340221.48,14433817.86,,,14731373.8
