0151	1216	2267	2269	2282	2502	2503	2651	2801	2802	2897	2914	3382	4452	4911	8028	8113	8267	ABEV	ABF	ABI	ABV	AD	ADM	AHLN	ATDb	ATM	AVP	B4B	BATS	BEAM	BEIG	BF	BRFS	BTI	CAG	CARLb	CARR	CASP	CCE	CCL	CENCOS	CHD	CHFJPY	CL	CLX	CNCO	COL	COLR	COST	COTY	CPB	CVS	DANO	DELB	DEMB	DF	DGE	DIDA	DPS	EL	ESSITY	FEMSAU	FGL	FMSAUB	GIS	GMCR	GMODEL	HAWKB	HEIN	HEIO	HNKG	HNKG_p	HNZ	HRL	HSH	HSY	IMB	IMT	K	KFT	KHC	KIMBER	KMB	KO	KR	KRFTV	KTGSF	KYGa	L	LISN	LISP	LO	LP4018	LW	MDLZ	MEOG	MHG	MJN	MKC	MNST	MO	MOWI	MRU	MRUa	MRW	NESN	NTCO	OREP	ORK	PEP	PERP	PG	PM	RAI	RB	SAB	SAP	SBRY	SC	SCAb	SCP	SJM	STZ	SVU	SWMA	SWY	SYY	TAP	TATE	TSCO	TSN	TWE	ULVR	UNIA	UNc	WALMEX	WBA	WES	WFM	WFMI	WLIL	WMT	WN	WOW
20170123			1353199.3	2128314.83	1000857.38	2572037.72	2662214.12	865803.58		2115138.68	889664.34	6489335.11	5346463.42	4346907.02	1813630.13		1754190.42	2179655.78	3869629.92	2111533.24	16009867.08		4679551.14	4585907.7		3356673.65				18608297.23		1476503.12	1400291.16	1623024.36		2881336.15	1602698.26	2365480.91	470570.09		924274.16		2073483.18		10250783.36	2834152.28	569881.2		457113.97	12103035.12	1610620.84	2064627.21	14685940.1	6884548.12				11368497.73	581690.7	2918485.96	3020131.16				3080532.68	6380470.38				2782327.75	1267769.6		3768900.06		1652361.08		2530311.52	7441214.96		3254149.08		9050368.72		7227790.2	27971776.74	5712440.3			1881750.4	1915725.32	1157180.11	965366.26		153764.93		11958771.11	850813.34	1274259.35	2339042.56	1857640.32	3166807.14	23003783.04		1280160.83		1118897.47	39049891.47		7938864.37	1392241.09	26084259.0	4170699.2	39275617.76	24794887.88	8065332.84	10001360.43		1443279.44	882771.48		3234985.44		2588220.66	4764721.49		1086646.32		4801354.18	3117228.54	752949.93	3579988.9	3149689.2	1124233.32	9198069.03		12485798.18	1687468.66	12266687.2	6206978.43	1697152.24			18052623.36	660169.61	4078253.47
20170210			1489993.34	2088438.82	1010659.56	2845845.53	2659281.44	892986.9		2058751.94	889433.71	6314830.11	5564885.04	4503099.27	1991721.07		1791481.23	2206786.83	4213389.95	1853538.75	15599179.59		4701104.64	4410154.92		3353202.52				19949931.07		1525495.21	1409952.0	1541130.84		2824682.49	1675435.79	2379308.01	523468.81		925998.45		2104584.02		10058076.68	2810760.0	670899.81		447551.33	12318219.3	1675180.8	2107481.18	14572678.29	6739761.51				11989705.33	620049.9	2911742.4	3210068.88				3017020.57	6426442.88				2777277.23	1290785.5		3811693.61		1709112.9		2559335.02	7792719.49		3183970.9		9204906.1		7635671.81	27878338.52	5575722.6			1833555.09	1886960.75	1235500.71	1027569.43		116877.07		11872973.52	865364.77	1238203.54	2310242.48	1911764.4	3017826.6	24044105.74		1285608.08		1156414.72	39555853.23		7833249.31	1420683.75	25714815.96	4460925.07	40658839.2	25898960.08	8583617.63	10008402.55		1484906.83	922260.13		3408475.91		2723384.95	4640912.64		1100034.87		4512084.6	3066826.48	720633.4	3401292.04	3180313.5	1273067.41	9105674.76		12131028.75	1654236.91	12078037.94	6166588.33	1678025.94			17313290.36	658091.18	4328884.97
20170307			1562565.13	2126916.03	990105.91	2820106.02	2755256.42	831210.62		2081222.68	933226.08	6450549.22	5377332.08	4635200.43	1848773.29		1764803.15	2244366.76	4374989.79	1979404.74	16200615.4		4630868.8	4603529.7		3216739.94				20124347.93		1550655.62	1482986.64	1393567.2		2929083.17	1633747.03	2289452.27	506475.84		969768.82		2281625.36		11180098.12	3152102.4	679841.15		423277.59	13094310.72	1611680.82	1977067.2	14655809.82	7031990.55				12006175.61	642321.67	2934483.2	3221208.0				3180179.53	6107632.9				3022419.48	1377370.54		3856635.72		1632533.25		2586314.5	7828136.51		3190491.18		9279114.0		8218762.75	27678578.32	5135541.0			1974958.77	1850349.84	1235014.23	1040676.02		499667.65		11583460.8	774874.69	1205623.55	2831403.08	1936905.6	2887580.64	24892694.44		1219609.73		1156045.15	39364325.73		7900130.54	1319387.58	26901813.6	4296449.11	41576551.38	28977750.0	8645105.27	10462754.27		1368730.46	931015.57		3432290.8		2794773.87	4840687.61		1037719.72		4460112.0	3137589.06	777959.58	3203674.48	3116739.2	1298746.78	10482432.64		13997559.92	1783602.28	12523804.3	6518406.08	1675103.39			18098640.66	639085.28	4515670.7
20170407			1603927.13	2262801.76	965664.54	3073883.01	3081964.89			2050040.38	930234.23	6471034.73	5485754.23	4820533.07	1866911.96		1874407.7	2221261.11	4502620.8	2048629.77	16721023.73		4798385.08	4621771.44		3331846.29				21732587.17		1634862.48	1427885.6	1361869.25		2940745.66	1716993.71	2350634.21	518146.92				2213529.82		11356453.16	3061315.15	722327.67		503281.57	12871381.33	1541430.73	1964076.12	14171526.5	7440429.99				12574935.95	679871.26	3168593.28	3339538.94				3466491.58	6069532.56				3219234.69	1559874.57				1656456.79		2686676.0	8241561.06		3264690.82		9530872.74		8229112.71	28847274.36	4803095.28			2054358.91	1972584.35	1262775.36	1049802.69		556466.13		11576586.84	885702.44	1064921.77	2920755.04	1951780.4	3270728.97	24357576.74		1298752.18		1194435.84	42066689.59		8321632.01	1386651.45	28085920.66	4599459.98	40376882.85	30823167.7	9175901.06	10756640.87		1341826.15	969956.74		3641316.49		2688844.04	4935679.78		1142322.95		4516624.64	3106650.89	816665.22	3326371.86	3125611.5	1295954.46	11118463.31		15071887.45	2050301.37	12396707.4	6970913.82	1676891.56			19068403.6	698189.74	4685958.7
20170424																																																																									4020063.68																																																																								
20170522			1644862.29	2308352.02	1052211.36	3070589.31	3176929.54			2023647.62	961550.19	6689218.62	5976211.27	4853539.07	1921019.11		1902534.76	2284624.65	4479169.65	2324280.61	17204436.91		4673189.27	4617959.25		3429092.91				22149958.28		1713478.27	1463134.4	1417202.12		2827023.22	1849683.08	2367382.2	556422.96				2198438.58		11202580.2	3035431.45	663886.92		551273.33	13677738.48	1517624.85	1974370.02	14909603.76	7651077.58				12799565.31	697821.41	2989348.05	3432096.04				3510086.11	5940150.39				3361826.37	1638004.88		4259972.4		1677981.64		2660854.4	8403271.66		3192302.0		9486792.06		8154917.25	29474513.65	4860465.2			2129083.72	2042690.54	1261831.33	1039806.12		758173.75		12100596.69	908685.89	1193325.58	2908951.36	1998799.2	3239496.68	24529307.62		1450682.94		1235281.29	42325553.27		8663273.11	1405644.49	28507025.28	4849680.7	39379716.9	30324161.4	9391393.5	10861810.28		1279997.43	1080657.67		3727440.44		2634255.36	5254533.16		1154570.81		4599267.04	3112493.51	836102.52	3423762.6	3254769.0	1246579.2	11598369.34		15909700.89	2003671.4	12957980.36	6550492.93	2052104.51			19925331.3	719509.07	4659691.81
20170607			2047688.2	2253018.04	1162680.29	3282138.25	3454432.37			2229814.17	1061916.17	7570585.52	6021480.27	5588420.67	2393525.34		2121325.68	2355785.51	4463535.55	2472766.5	17887322.77		4980519.88	4197043.62		3454648.58				23571682.22		1851940.4	1633152.15	1522011.28		2845947.76	2020160.07	2627806.2	570327.96				2318397.48		11976836.92	3107402.62	646744.3		594748.26	13926850.41	1610297.74	2003337.5	13922902.11	8169604.41				13327846.91	722448.59	3027183.77	3707798.04				3693891.11	5900392.6				3718425.82	1859744.77		4422716.02		1608623.79		2889127.28	8045868.05		3260592.4		9709674.2		8179087.31	31135809.85	4881775.84			2328401.77	2060777.34	1395814.17	1125239.01		559675.67		12573662.61	951351.74	1257940.25	2931902.96	2119348.35	3609276.16	25846875.6		1420168.24		1264977.28	47110628.13		9317932.04	1552895.77	29443994.06	5303081.61	39874731.31	32838617.6	9850309.25	12126553.9		1302080.11	1100245.46		4006969.21		2683315.8	5591419.0		1182533.9		4746283.52	3108258.89	813890.58	3424742.12	2927092.32	1346389.3	12706860.28		17356892.97	2044458.14	12170419.3	6535647.67	1974240.77			20889915.0	725499.93	4544440.49
20170721			1941776.43	2229663.58	1154948.38	3104321.32	3351115.56			2245959.42	1049626.2	7022119.08	5792702.35	5237365.61	2527353.15		1966559.27	2389997.5	4350457.17	2401993.5	16859089.14		4328663.92	4176855.82		3598358.97				22394931.96		1768849.34	1552527.0	1344177.9		2578331.76	1975711.63	2563985.66	595866.25				2274626.72		11568579.54	3049730.36			560326.41	12372024.87	1619550.8	1788484.25	14493098.88	8420936.02				13050999.17	729419.5	2981848.08	3811653.74	3130294.15			3933850.85	5721601.2				3635334.7	1787014.88		4342573.98		1631037.87		2662668.63	7684684.55		3152789.4		9003161.92		8109657.32	30447723.15	3764897.4			2288158.36	2070213.03	1326319.64	1079893.49		241193.94		11592498.33	987301.59	1348846.76		1960926.1	3541885.92	25425845.28		1359634.22		1271737.12	47953359.79		9055196.9	1553122.75	29122304.87	5237649.11	39331317.9	32248951.2	9511969.92	11966198.0		1263449.99	991629.62				2446354.42	5865950.67		1172440.85		4356212.49	2854400.4	734599.56	3167461.06	3206843.89	1427486.37	12232719.52		16699077.6	2141234.45	11794504.03	6324620.39	2379257.11			19690271.04	756929.13	4657396.07
20170828			1927384.95	2171745.33	1181953.93	3334622.4	3618331.4			2072499.21	1047386.76	6953559.89	5665599.94	5383595.64	2520114.03		2025552.74	2348925.4	4820114.56	2440953.87	18351994.49		4616192.78	4257100.86		3554054.9			584455.28	20409650.49		1878096.07	1565189.6	1333166.04	4782717.48	2475688.96	2076347.77	2409759.63	607170.47				2319924.75		11270059.0	3060391.74			618604.94	12280879.27	1753559.04	1824219.9	14380366.16	8342809.62				14284812.06	782405.84	2992509.32	3899018.12	3287827.21			4017886.57	5738379.02				3916615.71	1921653.69		4469783.83		1645593.03		2615373.85	7029958.99		3094408.0		9214085.92		7740729.16	31116650.4	3959097.28			2377699.79	2030783.1	1297911.59	1055526.77		4599375.3		11803214.66		1466001.21		1925441.2	3760864.0	22190113.68		1385649.19		1301079.21	46632380.27		8990175.41	1584202.29	29414755.89	5395419.38	40985885.34	32072141.42		11489642.95		1358416.28	970826.51				2528937.4	5877066.6		1184759.64		4562838.06	2917654.2	750631.79	3315705.77	3242954.88	1388096.88	12915379.81		17648053.91	2124086.74	12133978.05	6687241.58	2365077.6			20836915.06	723234.05	5051537.91
20170907			1988428.13	2172887.52	1173905.14	3589704.91	3731276.25			2036151.19	1028766.13	6853585.32	5633213.75	5524015.99	2957592.22		1859274.03	2364132.06	4962815.32	2785790.47	18211474.33		4124974.51	4170303.64		3616372.23			707780.13	25405720.24		1832167.57	1680519.36	1519741.44		2346987.84	2148954.2	2091857.71	567423.78				2181642.45		11250703.8	3175938.78			664515.59	12264434.78	1419629.34	1595286.0	14029321.32	8820905.64				15013949.57	789019.14	2988898.35	4214122.12	3149503.82			4004813.36	5490946.22				3947711.55	1936155.63		4236312.79		1480407.66		2656364.56	7237545.02		2978822.76		8507174.0		7748899.79	30919795.5	3581584.29			2456703.99	2080492.73	1318928.2	1133194.59		1589221.04		10902287.78		1566145.72		1922006.52	3979742.72	21776441.8		1349057.04		1486946.47	46778620.24		9182157.42	1582137.5	29292998.95	5327037.65	41777641.52	32268236.66		11406335.11		1351742.92	1083731.42				2173350.96	6082239.6		1201399.78		4637014.13	2942902.5	897528.14	1710401.3	3239883.9	1639468.4	13415278.75		18113362.86	2276674.75	12378790.5	6993078.25				20479244.33	812406.02	4928510.37
20171020			2069197.35	2195033.98	1072313.77	3339056.44	3869634.5			2013300.76	947932.31	6526447.83	5471036.87	5210607.2	2855619.42		1620226.54	2370714.81	5196696.07	2787954.6	21164989.14		4297307.47	4209340.2						25524879.66		1795352.16	1891757.7	1666386.81		2507354.36	2065095.48	2169168.7	620041.86				2131170.15		11325261.0	2999633.4			592226.16	12772890.34	1391280.51	1641321.92	14630199.88	8776121.84				14741184.77	705127.88	2824316.28	4240915.84	2944666.77			3797305.19	5312749.92				3698425.63	1848401.03		4257884.46		1522182.54		2739075.3	7472598.09		2783510.73		8146162.2		7332170.08	30559134.41	3220191.68			2538412.82	2048091.23	1249173.21	1130580.82		591604.65		10814299.54		1539128.55		2180278.88	4035073.25	21494686.92		1407848.74		1473328.54	46207638.59		9195549.17	1560595.93	28140086.48	5172098.81	41083656.64	30496445.18		11035611.98		1388199.43					2123468.41	6060886.6		1181148.38		4649249.15	2653871.48	886660.77	3565394.78	3602883.45	1485652.74	13516741.85		17922291.97	2211178.71	12533500.98	6682018.6				20235212.54	815320.23	4697677.3
20171107																										3423508.74			766584.07																																																																																																																				
20171121			2393565.08	2257344.01	1118894.66	3747005.0	3915158.25			2067542.02	978861.22	6624767.23	5702909.13	5330190.97	2985653.44		1602860.16	2443536.55	5012878.92	2879613.89	21700678.41		4324274.38	4080746.89		3530953.01			692466.22	26340346.7		1871577.1	1986519.78	1557684.27		2572692.08	2154717.97	2203708.14	622072.99				1986892.79		11054873.1	2928536.85			591328.15	12523325.68	1296171.8	1690114.23	12361235.81	9139299.69				15298480.39	591352.38	2777782.48	4397040.06	3242825.78			3466421.0	5399472.32				3644895.96	1826012.41		4445301.83		1475768.76		2664056.2	6969090.21		2815538.31		8242759.36		7092067.85	31293666.14	3322929.6			2660152.02	1942652.66	1250682.18	1176088.48		174538.49		11105311.5		1516457.67		2152236.72	4230801.69	21857020.12		1335395.16		1243284.56	46520479.43		9622986.59	1513303.34	27935588.9	5606075.78	39063324.24	28861386.24		10634021.29		1452503.95	974311.44				2183781.6	6657706.92		1271312.38		4793164.74	2658277.77	709858.41	3501400.67	3728690.31	1659609.86	13225384.94		17653364.63	2156326.47	10810360.02	6446503.07				22705052.81	788599.18	4712511.38
20171221			2263877.4	2403377.87	960841.79	4268482.07	3869962.31			1888687.73	1152307.76	6721629.95	5787349.85	5842457.44	3520700.59		1848826.24	2564194.7	4906813.0	2575627.27	20359717.26		4889363.08	3948997.36		3810999.25			703122.59	25633302.15		2108460.11	2138986.2	1352147.94		2788215.03	2262655.37	2285458.37	658420.44				2054254.16		11274813.9	3197262.66			608191.32	14220290.72	1438222.56	1744480.5	13702744.2	9380149.3				15444654.57	565105.05	2900510.4	4908065.94	3137712.33			3554105.9	5833428.72				3835568.84	1883102.02		4268951.63		1712056.5		2760271.19	7031508.83		2954374.8		8601785.44		7486796.4	30893331.13	4116963.72			2748662.45	1966927.57	1263547.02	1196221.8		258601.02		11414954.9		1373799.69		2191352.28	4586253.27	23037984.69		1318665.22		1212584.98	47029165.95		9499576.45	1545200.11	29285670.72	5911688.77	40378243.03	28105926.75		10352845.99		1354757.03	943531.63				2382634.74	6700466.46		1353440.83		4933894.45	2546060.0	747034.4	3786508.18	4171637.75	1656538.98	13039594.47		17373498.21	2254328.67	11124858.48	6736090.93				25075811.46	794102.52	4811414.52
20180108			2106702.17	2255969.82	926977.36	3984605.59	3988954.62			1852697.74	1125095.43	6259566.8	5617812.44	5708332.0	3277752.33		1783965.38	2511620.88	4969077.22	2293316.26	19044063.85		4718304.05	3775616.16		3842324.44			544038.23	26400548.1		2033994.05	2330041.77	1206069.86		2582090.15	2224883.07	2137518.82	543194.27				2144667.16		11227563.6	3238218.54			535714.15	13732678.08	1591259.67	1558571.56	12405040.0	8949685.54				15715378.67		2968968.34	4824940.8	2933879.08				5701267.11				3846085.37	1990985.24		4035407.16		1659493.17		2707213.5	7052925.74		2853800.4		7878565.44		7202074.74	29776991.72	4117747.05			2858404.13	1870326.21	1301929.19	1080708.06		45761.89		10799724.0		1267005.81		2094963.87	4417009.1	23120701.34		1271828.68		1161913.77	45317010.57		9283276.73	1546728.98	28845436.88	5746028.23	39609376.12	27697309.65		10599740.89		1398869.01	903561.44				2373729.44	6746472.12		1348025.26		4889554.49	2660463.19	747396.76	3891792.7	4055121.4	1639207.63	12419334.22		16252111.25	2219441.92	10667151.8	6817083.21				24409222.5	716320.3	4862713.29
20180122																																																																	3479684.11																																																																																
20180209			2265900.78	2149612.94	912793.73	3918628.72	3813862.09			1805359.35	1110347.67	6214407.04	5372966.72	5653802.39	3376352.89		1778562.59	2449047.94	5102232.21	2255897.25	18699992.39		4650158.33	3949639.05		3734906.83			572811.42	25733581.81		1987498.2	2270475.9	1167314.4		2515030.0	2304039.67	2307609.02	506784.19				2016332.6		10666803.2	2978748.87			551732.82	13901636.06	1514813.67	1481267.55	13036021.47	8901925.72				14824022.46		3525240.95	4941695.36	3020421.41			3532601.35	5430621.03				4013623.52	2067177.62		4124822.26		1528474.59		2540899.9	6553845.83		2760906.96		7706285.73		6771375.0	29821797.6	4397251.32			2626031.35	1801293.73	1347676.42	1084972.03		60877.41		10845499.2		1262649.13		2158975.73	4597746.78	22014098.78		1282490.38		1190584.09	44080212.5		9205987.86	1466444.97	27939314.1	5596757.48	35971488.84	27142164.83		10578260.71		1292413.2	959270.7				2341120.5	6254895.0		1339993.84		4887325.19	2647806.28	692571.79	3945376.79	3700239.87	1778141.3	12222007.81		16234677.16	2184557.26	10673824.76	6720766.69				25475907.6	719713.77	4798410.84
20180321			1891892.6	1827158.99	856473.45	3885099.27	3848471.82			1687306.12	1001565.06	5181642.85	5281752.09	5798581.13	3863097.32		1818038.52	2355230.41	4834073.25	2029090.29	16945617.13		4520165.74	3681786.0		3343453.49			495866.09	21431559.96		1770728.36	2205015.05	929439.84		2305997.25	2119184.74	2141846.21	453379.54				1957958.76		9555931.44	2617097.0			518233.0	13132774.6	1439166.12	1320989.25	10819664.31	7955446.12				13453816.54		3311381.25	4888593.28	2667507.81			3226487.87	4525842.6				3579418.89	1866104.75		3780341.03		1393670.1		2182354.6	5532977.57		2587890.4		6356272.95		6190556.12	26116117.2	3787714.8			2369522.18	1645389.13	1298978.89	1012158.09		475093.73		10340557.2		1414917.97		2043875.98	4117909.34	18997743.45		1164564.12		1130921.91	39138829.14		8404347.14	1486117.65	24574582.15	5560158.71	31545410.0	25274587.55		8391481.5		1156095.7	919336.57				2247382.2	5922252.32		1356999.48		4471423.65	2317237.5	565026.39	3717973.3	3487008.78	1686690.52	10658479.91		14119511.73	1957833.25	9421534.18	5883658.85				20743164.54	647218.6	4561823.55
20180409			1947640.81	1888208.74	735401.97	3926982.79	3841174.86			1737203.1	980047.01	5145373.77	5473215.65	5802629.06	3995569.35		1797576.87	2400263.77	5155854.92	1937805.55	17294097.96		4594160.84	3775315.13		3058422.27				20902271.4		1828500.57	2258470.4	693384.0		2301422.64	2061467.31	1918014.72					1927579.36		9870981.12	2706126.3				12964172.43	1350576.6	1316667.31	9911483.83	7992295.39				13144496.7		3340920.36	5254573.12	2660457.87			3171560.16	4035528.54				3649581.84	1908787.59		3712054.78		1459904.16		2191865.04	5218149.55		2532009.48		5871891.43		6104065.38	26167313.31	3312625.68			2396378.47	1599772.6	1306390.98	1039473.68		130927.59		9723006.54		1302900.16		1994812.5	3721853.76	18657735.52		1164284.82		1079078.59	38656934.52		8710118.01	1420958.0	24350819.25	5511749.87	31401935.92	24313438.8		8912097.71		1187403.3	854994.86				2202665.62	6172757.36		1359933.97		4484588.28	2252894.31	553866.9	4380084.51	3414459.88	1509994.38	11417215.75		15162970.79	2108063.14	8761784.63	5805539.0				20267899.82	645610.24	4261525.96
20180508			1833365.32	1949773.82	778368.75	3652621.69	4004546.57			1732392.05	1029929.18	4752608.18	5534455.43	5484322.6	4094640.16		1770390.68	2729092.41	4744448.08	2087984.81	15894824.03		4723744.47	3982049.62		2989516.28				20025793.35		1831586.16	2346170.64	716130.07		2334223.76	1984846.59	1911853.49					1793391.6		9063904.19	2418070.4				13669497.12	1297727.95	1248438.92		8081982.71				13921504.52		3408063.6	5241645.55	2470803.27			3389236.99	3953264.94				3663809.47	1945391.2		3655417.56		1543633.75		2067638.66	5539772.24		2332675.6		5359426.42		5791924.06	26268525.67	3500125.31			2414292.9	1634703.07	1371047.58	1069885.85		157020.25		9293441.5		1418591.14		2021447.57	3600630.0	16947296.07		1180965.83		1210296.9	38392559.92		9344305.67	1244119.26	22740974.48	5588068.47	28894621.52	20208818.0		8341125.74		1207999.04	1106597.04				2051158.4	6374706.72		1367576.12		4713702.34	2157503.4	578215.33	4966042.36	3293508.3	1696003.27	11690959.78		15499091.47	2306304.59	8959453.5	6043075.7				20308116.04	666612.24	4507512.01
20180607			1714788.53	2064835.01	733167.66	3858568.81	4124843.48			1785791.8	1043766.4	4858878.0	5548376.61	6037492.75	4954322.79		1966765.15	2704925.24	3746350.84	1948766.86	14721364.75		4419752.42	3806569.24		2865304.83				18500464.57		1825203.56	2348710.56	572248.9		2300351.26	1937616.42	1648682.99					1796588.7		8666799.48	2457440.54				13588757.28	998877.75	1015221.56		7516877.15				14182106.12		3355909.0	5241010.24	2421879.37			2909574.38	3792398.04				3454879.29	1866349.51		3489734.46		1521556.55		1996006.72	5489218.94		2513785.6		5386048.44		5560969.85	25837023.0	3059278.53			2468113.56	1635209.53	1364052.49	1064622.11		209009.77		9132591.93		1298688.73		1909304.0	3327344.08	16646082.12		1260908.51		1165360.57	36914526.93		9230520.0	1209203.24	22311740.25	5582253.07	28873979.55	19374432.74		8025557.49		1273712.67	1101926.65				1905437.5	6042344.88		1415862.18		4846750.93	1840437.45	659708.05	4925590.58	3124805.58	1456955.97	11367788.13		14875906.4	2079859.87	8306479.82	6215235.9				18729316.48	649901.71	4549672.1
20180710			1691581.28	2032176.23	702974.77	3748287.42	3851940.13			1720095.7	940098.41	4973683.02	5436025.34	5874147.97	4948453.03		1868634.5	2876073.58	3295629.37	1988128.33	15749971.04		4588625.42	3956595.56		2940223.98				18069102.57		1822424.69	2013428.82	461106.36		2183674.68	2030727.45	1475638.44					2017581.48		8794652.19	2724476.0				14207714.28	1032881.4	1217578.36		7181761.09				13765710.44			4961616.68	2315627.23			3091365.59	4083648.9				3456088.39	1835927.19		3616656.0		1563266.52		2037455.64	5577701.82		2700405.63		5827057.56		5744400.88	26119770.36	3575908.95			2441759.9	1605451.82	1290900.85	1074958.46		152274.54		9379693.0		1273973.69		2191314.84	3662329.5	16787635.11		1311703.9		1179691.64	37533271.77		9425084.74	1143351.37	23978944.11	5407705.49	30502023.06	19541905.9		8574264.16		1210864.84	1097949.12				1895947.2	5786266.19		1444827.26		5050318.66	1980440.28	612034.23	5082649.96	3141763.2	1481713.57	11337786.08		14762007.75	2176332.08	7889211.81	6500384.39				19234591.8	665110.66	4730656.88
20180807			2199256.74	2290298.37	848811.86	4310766.09	4463800.89			1958911.02	1060693.23	6136937.65	6162189.88	6796582.99	5515383.24		2275996.07	3314852.43	4422270.96	2139501.44	19098010.29		5896698.69	5035882.74		3755163.59				23800658.31		2281444.46	2641787.58	722821.67		2710813.24	2510818.67	1979234.86					2581965.1		11007665.69	3307609.9				17990647.18	1187039.79	1483402.1		9315740.38				17035757.38			5666940.24	2850862.83			4077540.72	5135045.16				4211546.09	2234747.35		4304484.66		1825153.77		2597850.92	6961297.16		3316390.7		6754507.0		7501552.24	33714982.16	4405709.0			2992683.69	1993352.17	1684242.42	1386696.97		366905.69		11994700.14		1694886.5		2678619.06	4654611.02	20985024.24		1571515.25		1469005.41	47821026.67		11327003.07	1353237.76	30649340.0	6508793.63	38234968.56	25264152.4		11236968.69		1469050.49	1342241.8				2366300.4	6714956.43		1925815.62		6025712.55	2356390.0	708791.41	6189618.38	3213065.1	1908288.74	14162683.18		18487922.94	2872421.53	10822648.62	7939509.56				24242095.63	817385.16	5671904.54
20180907			2088902.88	1910141.13	753330.0	3842747.5	4160114.25			1792707.75	1003859.88	5449516.0	5926838.0	6977161.0	5136738.0		2400916.25	3407687.25	3822616.25	1923687.88	17031660.0		5422611.5	5074574.5		3763797.75				20099848.0		2211563.75	2488439.75	570362.0		2623104.75	2444769.25	1890393.5					2508700.5		10490987.0	3405580.25				18460632.0	1066841.0	1356567.13		8992500.0				15658406.0			5685369.0	2836337.25			3819838.75	4924358.5				3954788.0	2119567.5		4233354.5		1907388.0		2534511.25	6244930.5		3235934.25		6293276.5		7307558.5	30931670.0	4612072.5			3114938.75	1874956.88	1766104.88	1439866.63		520466.47		11374456.0		1611411.25		2750357.0	4514932.5	20125146.0		1420566.13		1407543.63	47420028.0		10695314.0	1289462.63	28736054.0	6126581.5	37749632.0	21950726.0		10339705.0		1315083.75	1285121.5				2129938.25	6384661.0		1766663.63		6438635.0	2253142.5	743132.88	5614559.5	3379178.0	1902458.0	12438141.0		17767184.0	2574198.5	10563519.0	7730318.0				25063748.0	736138.75	5005998.0
20181005			2263874.75	1699511.38		3334266.5	3997925.5		1815204.5	1693175.13	955751.19	5037121.0	6046830.5	6752180.5	5244462.5		2286198.0	3572162.25	3507625.75	1793825.25	14761091.0		4738110.5	4701703.0		3684509.5				18061848.0		1987495.38	1469791.75	696792.94		2252584.75	2228278.5	1799838.38					2445687.75		9809514.0	3252014.5				17322870.0	954308.81	1170548.25		8416951.0				14767110.0			5478854.5	2551546.0			3201197.5	4289682.5				3838408.0	1894926.88		3608645.0		1783598.63		2389758.0	5665465.0		2969338.25		5756019.0		6677373.0	29819248.0	3888805.0			2800228.75	1631328.63	1483415.25	1359377.5		452246.94		10607554.0		1659262.25		2695605.0	3914900.75	19212896.0		1309316.0		1292579.25	43320036.0		9998580.0	1225863.75	26654238.0	5840372.5	34928716.0	21392020.0		11351156.0		1201494.38	1188799.13				1964058.0	6161341.5		1569108.38		5855239.0	1956684.0	705494.88	5090247.0	2958343.25	1588264.5	11168493.0		15972276.0	2556995.25	10341740.0	6960697.5				22699456.0	664179.44	4632605.0
20181107			2151993.25	1840857.75		3746106.75	4131762.0		1826875.25	1775438.0	1039998.25	5555199.5	6509418.0	6212716.5	4755681.0		2076944.75	3732028.0	3699898.5	2028887.0	13880564.0		5283933.5	4989080.0		3937747.0				18651842.0		2019849.25	1491962.63	834009.63		3162810.75	2268949.0	2022190.5					2761061.25		9746906.0	3596349.75				18769838.0	888183.38	1346535.5		8566045.0				16016725.0			5794882.5	2607084.5			3043056.75	4886372.0				4131639.75	2026625.88		3746225.5		2224330.75		2838617.75	6143666.0		3128700.0		6393890.5		6851467.0	34459524.0	4404896.5			2875968.25	1802810.25	1678496.88	1333482.5		791194.69		11535348.0		1850501.0		3301056.0	3950643.25	23060322.0		1487663.25		1342276.5	48637124.0		10391292.0	1410826.88	28751300.0	6059614.0	41354056.0	25671436.0		11155457.0		1368031.25	1248226.5				2322272.5	6320173.5		1733682.75		6405077.5	2290880.0	755041.31	4935969.5	3317111.25	1505940.25	11978361.0		17188184.0	2375343.75	12594885.0	7127341.5				26953258.0	738148.13	5111128.5
20181207			2365838.75	2217754.25		3646533.5	4184578.0		1999700.63	1970277.38	1039304.25	5507752.0	6770756.5	6999963.0	4879619.5		2456970.5	4050156.5	3722778.25	2128854.25	14767271.0		6118749.5	5010427.5		4438723.0				15399724.0		2156593.5	1626774.75	824202.88		2963055.5	2275477.25	1914559.13					3233844.75		10735960.0	4219997.5		1844551.13		19596354.0	741876.38	1458357.63		9317766.0				17128320.0			6205282.0	3064800.0			3244751.25	4922430.0				4282503.5	2105504.0		4029978.0		2449243.75		2997635.75	5734109.0		3149656.5		6145339.5		7833161.5	37203012.0	4546818.5			2956645.75	1728948.88	1687396.75	1392184.88		596946.94	2154733.0	12829061.0		1836284.38		3596400.0	4621619.0	19935584.0		1703500.88		1342059.0	50264676.0		11164774.0	1387327.63	30462442.0	6471527.5	45307528.0	25914696.0		11754346.0		1454205.75	1216672.0				2327542.25	6401548.0		1331417.38		6255731.0	2432240.25	820428.25	4683686.0	3396581.0	1509667.13	12552037.0		18211864.0	2375453.25	13730765.0					26941146.0	1084157.63	5481646.0
