ABC	ACI	ACV	ADM	BEAM	BF	BG	BUFF	BYND	CAG	CASY	CCE	CEDC	CHD	CL	CLX	CPB	CPO	CTVA	CVS	DF	DG	DLM	DPS	ENR	EPC	FLO	GIS	GMCR	GNC	GO	HAIN	HANS	HLF	HNZ	HRL	HSH	HSY	INGR	K	KDP	KFT	KHC	KMB	KO	KR	KRFTV	LO	LP4009	LW	MCK	MDLZ	MJN	MKC	MNST	MO	NTY	NUS	PEP	PF	PG	PM	POST	PPC	RAD	RAH	RAI	REYN	SAM	SFD	SFM	SJM	SPB	STZ	SVU	SWY	SYY	TAP	TFM	THS	TSN	USFD	WBA	WFM	WFMI	WWAV
20180209				18197056.0		8996872.5	20107466.21	14077914.0		6851856.0	9645200.4					6470273.85	8625854.65			18431007.87				3654258.3	3606030.36		3017841.73	2931577.29						3641601.2		8410300.72			13958073.36				6847523.28	6586398.0		15024921.12			618229.0	17627934.8		3082825.2			14645228.35			7151887.52	2980793.4		6382857.18	3016272.67	6487264.77	15182386.63	9865387.26						19477655.82	9105245.73		8560427.35			14063453.17	17384326.14			12753676.59	8970953.04	14078511.9			
20180307				16907857.44		8708465.99	18352948.73	15952132.36		6261690.3	8596993.57					5665837.52	7667549.4			15247445.33				3420772.5	3243248.88		3067777.84	2435145.15						3884593.8		7643356.2			12201906.64				5629518.0	6001437.52		12900116.16			39153.07	15638987.61		2929710.4			13073674.59			6736083.2	2613439.41		5579238.6	2799370.7	6244423.56	13242096.0	8568751.4						17266490.08	8710911.0		8077914.24			12824869.3	15164142.5			11979717.18	8960607.18	12386559.78			
20180409				16909702.78		8124096.0	17224692.7	15178040.22		6119719.68	8044933.53					5594347.08	7385654.3			13408681.19				3335001.36	3396000.42		3095856.92	2078212.26						3936228.48		7737444.0			11529186.68				5007493.1	5704954.26		10902850.56			180929.09	16116635.06		2666463.54			11300634.09			6752499.39	2488947.45		5393497.68	2572670.8	5977312.48	12381733.98	6996413.76						15062083.73	8189124.36		8180504.64			12342885.92	14343886.62			11286556.71	8420054.88	11270791.44			
20180508				14888542.68		7329079.32	3040594.08			3128633.86	12522064.8					2740604.8	8792371.9			19965095.3				9462564.76	13698887.28		3219415.29	9064327.68				2827270.41		15434888.32		7514625.0			8770669.79	2820073.1			16098857.96	2926454.56		9825435.07			216908.51	15964338.64		6734355.0		7048977.52				13735009.45			6491791.6		9807479.92	15610989.6	7072209.52						15174888.04	16362152.16		3183856.41			9739666.9	16820618.88			17035491.7	7420648.9	9477564.15			
20180607				13583891.44		7005238.8	2772541.2			2962057.56	11883555.2					2675659.52	6868648.84			17163856.74				8912306.5	13737383.58		2737353.5	8299666.24				2345619.76		14037701.92		7045781.24			7640351.49	2919635.77			15543396.72	2699552.8		8987234.37			419651.33	14754937.5		6340455.66		6396128.0				14971047.91			6218571.96		8972881.36	13339794.07	6416793.6						12459011.6	14601402.5		2885985.96			9591079.61	13784940.0			15527883.15	7335843.68	8426830.13			
20180710				14522656.23		6190698.15	2834199.47			2912530.95	13156226.16					3054891.75	8442090.14			17769802.05					14522857.28		2864687.41	8858860.3				2793511.6		15148825.12		7450186.2			7744239.9	3231138.15			17325190.62	2875571.32		10717996.95			258125.9	16172265.07		6751429.0		7497904.83				14578525.5			6766006.62		10240250.9	14051726.37	7076113.47						12923441.62	14889204.4		2886676.43			10271840.35	15516522.0			16160472.0	7930513.62	8267666.4			
20180720																								9294936.0																																																														
20180807				15280322.5			3597456.07			7454479.44	15104940.48			7629399.7		3625664.91				14625930.0					11007661.12		3552823.2	11325739.46				3462200.28		10459773.33		7013646.42		3828422.22	13278606.6	3688090.69	8868621.72		20296116.25	3921338.4		14791508.0			39244.59			7676654.94		11019257.46				10139845.8		11110671.18	7517715.12		14602066.08	18733417.56								21878416.8					14281385.69	20838340.0			17719361.65	18918047.4	12262413.66			
20180907				15355821.6			3254003.46			7181023.5	15171137.94			7430934.3		3741788.82				16326478.08					10577369.83		3376898.2	10886656.15				3345546.96		11032050.73		7345714.5		3770706.24	12748767.66	3586700.19	8103895.2		18888278.77	3828764.52		15460326.0			188855.09			7274575.2		11265299.92				10661464.8		10691428.14	7418965.05		15787924.02	18704225.14								19586581.56					15298669.86	19974214.16			18576874.03	17547303.34	11963514.32			
20181005				15177870.29			3409733.75			6577814.92	17001463.02			7726827.39		3847036.57				16927319.04					9667572.75		3098959.5	10063709.92				3148198.08		10538241.75		7325839.0		3791646.0	13119790.08	3466690.2	8161030.08		17702654.64	3731823.96		14158259.81			149531.84			7249371.12		11777923.0				10939441.76		10338037.53	7376924.59		15770910.48	18134338.59								19265027.5					14842354.5	18239731.5			17447707.23	16444442.48	12606086.7			
20181107				11986947.0			2867520.0			13436330.0	12456893.58			9564863.22		3146546.2				2931795.0							6598671.13	9760961.4				2924942.56		6225721.18		7062741.24		3349187.55	9220331.04	5963001.68			18551110.69	2926032.2		13037856.0			383551.55	3741597.36		6231049.42		13938624.0				8148960.78			6794040.84		11501673.6	18156246.0							18245510.36	19633324.96	5542833.0				12418909.65	19354304.0			18720206.4	12070370.98	10466143.08			
20181221				12508788.24			2836949.7			13077810.9	13702845.86			11425453.04		3760567.72				3479878.0							7245772.07	10102485.63				2607413.4		7170161.75		7818651.09		3626642.1	10199265.48	6210075.9			18484327.44	3467329.98		13922107.4			516050.57	3934019.7		7153124.42		15555900.0				8202643.83			7757664.33		13484047.5	21854553.6							16735401.88	20296155.53	4515307.2				12573133.0	21310203.47			19732923.0	14710485.72	11902400.58			
20190207				10467998.88			2497304.64			8119384.56	12747879.76			10670020.32		3290426.58				2672495.28							6356709.08	8739888.3				1877855.72		6940065.6		6956711.96		3374026.4	8388600.6	5228729.16			14628779.52	3219260.76		12133797.5			1544999.9	3546548.28		5984044.67		13574089.88				7168127.74			7092547.2		11676832.17	16059736.44							16066052.21	17066412.52	3631387.5				10987368.34	17104707.36			16802416.8	13185970.0	9029194.53			
20190221				13124314.9			3085186.61			12132509.28	9019181.2			17158671.53		8645954.22	3215307.93			5990352.3							6373555.74	6833449.92				3460135.77		17686363.8		2968663.36		5927488.7	9728730.0	6197820.3			19501162.02	5853464.52	3043115.51	12337006.75			539292.35			3459831.66		15507794.28				3204901.7	6106601.33				18187243.62	15643049.9							12214956.38	13434708.48	11879193.92				9152195.15	14203783.18			20250750.24	9572028.96	9498143.44			
20190307				11952615.0			2861171.24			12606572.58	9086865.6			16813610.8		8859793.92	3145158.34			5084991.9							6384981.93	6972883.5				3572563.75		15991024.5		2926453.12		5949271.36	8740962.6	5685354.3			12957807.47	5907275.29	2758304.24	12289064.69			582662.41			3393633.6		16409930.42				2823246.48	6030163.44				19207130.76	14612764.32							11429178.64	13052983.86	11079823.46				9316158.25	12650720.54			19402552.2	9624995.48	9003470.49			
20190422				11852986.6			2795356.11			14622419.76	8486071.77			17785774.85		8790801.1	3253404.12			4633827.39							6498378.64	7481652.75				4103360.72		14759834.6		2952011.52		6031560.58	8748503.79	5666217.62			12456105.6	6121775.1	2785733.28	10072027.2			231561.77			3510274.56		17763042.75				2196630.42	6244780.35				20154105.6	16181269.47							10315893.72	14030561.0	10948878.6				8997044.92	11959049.55			21348961.27	9317269.54	7819159.68			
20190522				18171110.4			8924741.67			13369970.16	9288190.65			12678766.85	3199266.08	2998611.29	12226426.9										6143419.64	17477050.26						3004416.8		5376003.88		6550504.95	12057127.0	6331319.1			17889701.52	3121302.94		18415066.48			688664.49	2815869.9		6136933.95		9237430.15				9605476.88	9442791.15		3082702.48	2949964.8	18115061.94	7273450.08								9512654.36	10157326.04				6350540.65	18909539.53			13017835.48	12615561.45	10202192.22			
20190621				16669774.8			9507315.51			12415631.53	9672480.72			13439934.2	3267057.74	2982747.64	12251393.41										6749588.25	17924669.76						2535962.44		5675384.33		7392399.2	10347783.04	5892449.04			15888961.9	3320024.4		17396981.71			155077.02	2542950.75		6552632.7		9995766.36				9413310.97	10078336.0		3181051.01	2806760.7	18024860.2	7379323.01								10068085.44	9277451.81				6631151.1	17293354.22			14062644.67	12736535.04	10032943.62			
20190705				17250933.6			9845071.2			11954818.2	11361219.67			12825975.24	3268940.37	2983042.13	13140996.57										6824230.01	18507470.28						2522626.2		5662910.98		7297799.47	10893711.89	5837201.48			17336864.32	3362920.96		16093731.55			222446.66	2643062.4		6750867.2		9651387.63				9664697.88	10035247.77		3294434.25	2777527.57	17330863.27	7121920.39								9273140.57	9205692.85				6623210.88	17120208.0			14541839.18	12809232.0	10805033.47			
20190807				18421299.0			9868710.14			10243047.13	18989452.44			3238488.32			12943181.94										3194380.8	3171782.31								6342628.64		14203319.22	11754726.94	3408839.22	9161821.2					17832187.96			548031.28	3322641.36		3112529.61		6415638.18	9503780.58	6235739.46		7627424.38	9170750.93		6752478.2	3339048.96	6468904.26	19499111.28							11243924.06	6054851.45	11691615.09	12537434.0			6082159.0	17639126.89			12352948.5	9306554.4	18235514.42			
20190906				17923300.3			9475841.97			10569658.56	20679959.25			3597679.1			14799915.0										3228092.4	3374927.8								6925701.57		15582546.0	12344577.93	3862262.8	9329841.84					20962625.28			621056.33	3660209.61		3375322.5		6923440.83	9084873.49	6086902.14		8140369.86	10306023.75		7224981.39	3024463.86	6318053.13	23586219.24							12522727.75	6015467.48	13693234.17	13674284.6			6925623.42	17626289.76			15186174.88	11180177.75	17995332.6			
20191007				19697336.28			10227893.42			11642078.24	20216555.04			3454569.36			15711725.04										3334305.15	3520569.52								7236921.43		15516358.88	13295910.14	4029597.0	9513288.44					23236313.18			140168.14	3850087.68		3442840.2		6764820.3	9153797.66	5795080.1		8678033.85	10521602.4		7610190.3	3243349.95	6829643.52	24696793.1							13737608.14	6407784.84	13155906.96	14122193.68			7532439.8	20091995.0			14315348.18	11566197.6	19796942.37			
20191206				14810734.04		11325459.6	13799700.0			6378687.55	19169835.49			6724731.0			17851162.01			11423063.4							2972164.8	2920737.22			2911321.6					6764759.82		17138113.43	13984422.0	14284720.5					7233257.13	13829372.48			761181.72	11645987.24		3000874.3		3254454.57		11884130.7		11374899.06	7238186.56		14484497.32	3394744.96	3077430.3	17135457.24							10891203.33	10424169.52		6642897.66			18193187.95	16582706.96		3083677.68	13906484.67	6982832.41	17912840.88			
20191220				12465927.54		9662451.04	11243376.02			5611144.33	16073725.0			5566660.48			14796034.12			10674490.32							2428304.11	2523582.28			2492171.12					6072021.74		14250325.12	12134503.0	12068494.24					5849008.8	12647484.0			124170.73	10329372.04		2477681.32		2824951.75		10868843.3		8042139.68	5907654.19		11703356.92	2849226.01	2602934.4	14653737.0							9157104.0	8543606.82		5352388.02			15123181.95	13087293.36		2300176.72	12445000.83	5769950.91	16063511.2			
20200108				12912692.85		9240108.8	11629646.45			6384698.56	14109567.55			5348301.9			15064204.4			10107897.4							2352463.66	2432052.48			2341948.95					5901380.42		13563020.44	13010862.15	12296993.8					5816454.75	12866399.78			103788.48	10151970.15		2492039.52		2717886.49		10471716.92		8268575.58	5702965.76		11489551.0	2804821.67	2579996.8	14601195.23							8585730.45	8121931.74		5236910.25			15408149.12	13406708.7		2189193.0	12092570.08	5830794.77	15245994.72			
20200221				12358504.56		9603662.48				6151990.84	9710796.48				3000485.04	2868233.23	15663359.1		6260225.64	11682808.84							6336946.43	9358032.88						5214796.65		6703641.96		2955522.99	15144976.0	9466183.8	2758793.94			2915220.48		14821455.44			403403.83	13582910.36		9998924.04		2694624.78	2933730.0			10177400.74	9973780.56		6384407.22	6219040.0	2683370.77	12737798.75							10337150.58	12733669.0					15360837.12	13196303.82			14519165.19	9203991.42	13796418.6			
20200320				9154145.7		7677601.02				4392026.33	8665817.16				2419816.84	2559806.94	12860734.08		5185054.4	8977014.2							5580274.58	7732788.0						3824854.92		5195964.8		2415432.25	12624781.4	7389675.88	2373870.48			2350924.8		13668817.08			512371.6	11382242.44		8102582.4		2123555.94	2420634.26			6742950.96	8165263.32		5108824.37	5421758.88	2288070.96	9111305.56							9306592.2	11146401.72					10975388.8	10372309.97			10495810.71	6787408.24	10932796.16			
20200423				7825650.28		6349844.41				4417459.74	6444048.62				2174219.04	2544869.25	12037789.44		4098329.5	8234173.38							4865866.56	7618721.52						3153479.04		5330065.84		2033212.5	10468377.0	6707541.89	1890802.89			2096556.52		13390358.04			167112.44	6843206.6		7030831.36		1876398.48	1996611.14			5497328.9	6795258.0		4540250.0	4420281.6	1715238.81	7138301.52							9905402.65	10990554.0					6874889.58	7462105.87			8192250.81	3269230.58	10000401.0			
20200605	9418065.72			5888472.72		4166529.2				4238152.16	10623682.65			6082690.92		8003309.88	10065522.18			5786438.6		10791818.6					2018701.68	4220268.63						2381398.65		1867581.55		7433163.47	7998362.4	8120100.5			6838019.82	2013499.2	5784526.28	3902444.16			571545.6	3995947.28	9707830.0	1909658.56		4129910.88	8170663.9	1887100.75		12427628.18	8191925.96		5976834.09	1901106.4	2058266.65	9029504.0							10391392.26	3849599.91						5863691.82		4356959.25	7992223.47	11285694.0	5277786.93			
20200619	9763674.06			6076264.63		4305690.51				4298652.4	10926650.11			6360455.89		8631768.75	10009464.18			6009752.78		11493664.16					2083799.06	4330784.96						2725094.4		1897729.12		7424409.6	8088859.59	7893497.22			6697336.47	2005053.44	5736458.52	3926175.82			111782.86	3813149.34		1886483.4		4496707.52	9267401.25	1830429.7		15421780.66	7941673.5		5730505.2	1822555.84	1901999.82	8270831.79							12251553.51	3721067.73						5291472.16		4328176.23	7697817.6	9794933.28	5103848.4			
20200707																																																			10631842.02																																			
20200721	10300205.55			6155811.9		4149677.1				4337375.42	10208777.04			6537106.4		9163304.27	9725991.1			5943520.57		11412120.53					1971414.12	4227278.85						2790739.12		1872441.57		7079455.54	7955633.0	7969015.98			6996187.65	1999961.15	5480359.44	4066502.05			65103.12	4051180.17	10260422.76	1847122.38		4597201.84	8916700.92	1836350.5		15827372.92	7969458.56		5899822.94	1737277.82	1910554.1	6745545.09							12452221.95	3449194.38						4780609.88		3589716.6	7466914.63	10072660.48	5028980.04			
20200824	8066898.04			8709309.18					7624126.3	4319745.15	6478714.62			5055494.73		6560787.4	4051851.8		4324783.68	7860010.14		10135944.0			10705712.67			4163419.08			10934858.24			6932003.4		4274477.84			8455634.5	2118406.94			6560288.46	2181774.0	2144554.28	6254093.93			504894.83	1906218.24	7941061.44	4402687.58		4406883.9	6889209.84			9518425.8	2111153.76		2224319.68	2223803.12		9217183.8					15315695.12		10455000.74	8384848.65					1961210.65	6644792.0			10437405.4	6264113.1	9739948.92			
20200921	7901152.9			9205207.32					8320133.25	4475000.88	7320483.85			5086368.91		6270069.0	4349216.09		4372403.95	7845756.0		10869219.2			9997991.94			4255936.45			10340123.13			6724850.45		4333198.04			7952620.16	2202039.14			6762194.4	2289570.88	2274120.42	6486980.8			71680.86	2016793.65	8206891.84	4687854.48		4715587.8	7445174.66			10146080.07	2172470.66		2373189.48	2336330.99		9716656.0					16858165.72		9359287.1	9320199.36					2257114.34	6741775.68			10787909.6	7599245.4	9199737.42			
20201021	7809813.6			9461226.39					10064398.42	4122398.11	7235862.15			4921930.33		5834739.54	3956956.22		4366184.31	7298948.8		11168343.98			8365470.48			4061998.08			9781911.64			6316176.75		4112186.79			7403925.76	1984850.7			5719581.45	2120692.92	2243125.95	6100849.83			159354.86	2104337.58	7882418.11	4561874.7		4392483.0	7045890.8			10639166.09	2127371.4		2359772.22	2172910.24		8993276.61					16707871.04		8301758.92	8865235.84					2310788.58	5948275.08			10111005.2	6862135.94	8600900.32			
20201207	4091813.44	10945900.94		8211576.64		3820526.26			7081192.31	6084500.73	5875507.35			7787335.78		2035402.25	1991455.57		7088226.5	9911776.08					4150126.45			5934997.68			6932137.54			7988741.78		4111091.46			9666773.07	2009649.95	2011662.7			1853343.02		9802630.35			216436.33		4088127.82	3816884.48		5758449.51	7882345.51			8134015.05	1984954.68		6107805.0	1954754.48		11544054.66				3807147.36	12140739.94		9393021.6	8018709.6					3669541.95	8674206.82			9929633.92	1941380.1	5867917.32			
20201221	4178326.53	11364564.68		8409437.82		4206096.36			6617549.8	6031741.92	6025417.2			7357495.79		1896864.16	2030862.02		7836056.8	11397668.28					4203535.83			5809161.48			5786511.84			8067421.17		3790158.12			10009672.45	1943183.55	2166608.85			1852544.38		9555480.0			402913.88		4744766.43	3927511.8		5675029.98	8304031.44			8077952.73	2043306.41		5886004.95	1983816.75		12394371.26				3891681.46	10349079.12		9931630.29	7969365.6					4500181.25	10767082.0			10763281.2	2782170.92	6234134.13			
