year	month	actual_ret	expected_ret	sharpe
2005	3	-0.016316184310605778	0.35797955971476714	1.333138699343796
2005	6	0.062427093239250074	0.4037722934987203	0.7557520453798596
2005	9	-0.10827437665833622	0.475280548226219	1.3944133808787034
2005	12	0.03042204639736239	0.4282730535295035	1.5207194378741695
2006	3	0.10473401498008825	0.3993198973386268	1.488347362285661
2006	6	-0.0899057996726756	0.32398890941972625	0.7610157122133626
2006	9	-0.06441364089836478	0.34756199155508255	0.7761690379151054
2006	12	0.08500637018960204	0.4040957631334646	0.7623819240426236
2007	3	-0.057228852134871076	0.27594624801560275	0.690352446761229
2007	6	-0.11282656651047843	0.4746431731685419	0.7387095768280945
2007	9	0.15235292355500513	0.4750062522947372	0.8019199326152716
2007	12	0.09707727928933091	0.40255928140262637	0.5461635524636367
2008	3	0.03603306836245923	0.5050348633426087	0.7253411451673076
2008	6	-0.00440366065306807	0.36616780192508436	0.7972833260210641
2008	9	-0.31870887112130336	0.4229385208111191	0.45887005482461585
2008	12	0.2298048774087269	0.4673961400137055	0.5623652207591265
2009	3	-0.1755948566823921	0.5854707863066431	0.6600693405692899
2009	6	0.12821813300650295	0.39632885130360446	0.6158110289544095
2009	9	0.7584743765447476	1.2098196237766827	0.1872362310311042
2009	12	-0.03252250991208391	0.3141212862782887	0.4900509201250389
2010	3	-0.010986004309446434	0.47942440304460543	0.6631955967419642
2010	6	-0.15267806734420458	0.2632316680436901	0.5183541927483478
2010	9	-0.07548771568655932	0.26419210925156994	0.39096499581079036
2010	12	0.3383596301207487	0.41573706039095204	0.6520801574766663
2011	3	0.08706510907921455	0.38963854190013414	0.6112001477419464
2011	6	0.17776352672181822	0.45155597998278274	0.4631278035902883
2011	9	0.3133688682794374	0.35070806729482784	0.42618220118607353
2011	12	-0.10789626219980307	0.24890122393050104	0.47830604752434513
2012	3	-0.08440591654606633	0.378017487529039	0.634435679216792
2012	6	-0.17237069182665005	0.2753526901775234	0.5396332460657239
2012	9	-0.0785110691211582	0.35396980265294437	0.1414279569976013
2012	12	-0.17547768810129963	0.3198279456918831	0.5778327278777207
2013	3	0.011877558975198741	0.8999216394800936	0.49222990056393623
2013	6	0.06708765631639016	0.3711033116586318	0.561169086079046
2013	9	0.3079360688975664	0.35406877440514717	0.39260724024509747
2013	12	0.09237046310375654	0.2776193390911386	0.43576578783794323
2014	3	-0.10167606333348742	0.2784829711227269	0.4951994276721216
2014	6	0.15024070286542257	0.3110509435748983	0.5282289511113818
2014	9	0.0980369394917173	0.3556069002795467	0.5366092599260462
2014	12	-0.19307963759881677	0.2580136842147683	0.5767636052575824
2015	3	0.24644023291492387	0.34271269490281125	0.7085573654193729
2015	6	0.011517739049457777	0.26115389685148815	0.6605453386620511
2015	9	-0.03522083074009892	0.3804336298151446	0.438605952426138
2015	12	-0.572838997380281	0.5756393704398246	0.7021654866694792
2016	3	-0.3552509042144247	0.33593357654357653	0.6546922443083091
2016	6	-0.10129554022198389	0.25463033661372336	0.7377632560920497
2016	9	0.2902585592170149	0.9986552790249763	0.6414956907803764
2016	12	-0.06398295928673191	0.3585514893533678	0.5963154531676031
2017	3	-0.0647187512903158	0.3815827678042488	0.6553438962704838
2017	6	0.15531775896821612	0.35567757077057083	0.518643904101909
2017	9	0.2532370456351118	0.2898120395507432	0.42374168944013857
2017	12	0.04831871456456295	0.3219389623740518	0.26106381961780756
2018	3	0.24937081187145047	0.8318610870499711	0.2795002408662079
2018	6	0.5860637667477114	0.3785434754209973	0.5462615797110828
2018	9	0.158302925864674	0.2702073723367508	0.489308080265011
2018	12	0.0408368785505639	0.47107006797715356	0.23388668530784495
2019	3	-0.0019680302857244814	0.38008279800925815	0.7175540175396935
2019	6	0.05149464346886448	0.7180846163192692	0.5963038510813551
2019	9	-0.2729690535148729	0.8535947802347877	0.517439079967201
2019	12	0.06656041302032498	0.2924537005224454	0.9634066005659359
2020	3	0.21108468531678115	0.6444052335217798	0.7038532072248229
2020	6	-0.01940291588902522	0.2511449015934969	0.5193899873954716
2020	9	1.1176583092319614	1.693144408350246	0.267787505902046
