year	month	actual_ret	expected_ret	sharpe
2005	3	0.01855909858727009	0.17812363674308282	0.9364171050627164
2005	6	0.10961941666249655	0.22608326208405105	0.35373382055178115
2005	9	-0.044200309669318566	0.1582638462701226	0.8728398908218746
2005	12	-0.02026619721697347	0.15498903645203144	0.4638144223426712
2006	3	-0.09584555677391955	0.20496802843164671	0.7438308208148107
2006	6	0.10755541843209901	0.20483719677118378	0.3454017423574881
2006	9	-0.012375592649157939	0.2745740940727781	0.2854665128292971
2006	12	-0.10380814862018709	0.2761181748055213	0.7527223614984863
2007	3	-0.006476006228376368	0.2765055906250261	0.6699984396141707
2007	6	0.0003558547861351874	0.27232603237479225	0.9027610632119801
2007	9	-0.06581380183931565	0.5905378669377748	-0.08898564065966942
2007	12	0.002216236686493923	0.19367232767333337	0.07099521569868016
2008	3	-0.02623191331745431	0.2812739852213355	0.693984299622614
2008	6	0.04813212892469679	0.28235509394236424	0.36187060805726023
2008	9	-0.05381092564680356	0.3123810766833019	0.3136732392130977
2008	12	0.4056915091187955	0.9817244193909638	0.31740562845768444
2009	3	-0.23933776685360286	0.6251133218058456	0.4802877783640587
2009	6	0.0003769927626890947	0.3788766896837568	0.0935081748939251
2009	9	1.0874304264026438	1.2606318365471074	-0.0827862797892424
2009	12	0.05828850845192924	0.41751949797499394	0.2917606770268298
2010	3	-0.042347235193596	0.24678657839957469	0.217186891571277
2010	6	0.041863006369938886	0.37151438362769396	0.2925664140440458
2010	9	0.14295661250598057	0.26902820528813237	0.16295303916996087
2010	12	-0.021352591737991613	0.14708733308277194	0.2244954323621407
2011	3	0.12782337229961327	0.3014937494485791	0.5285877682054826
2011	6	0.05145331662296131	0.30666729862605935	0.2384888073786763
2011	9	0.21392681174726724	0.517820900529173	0.02248811931492102
2011	12	-0.07494330349937209	0.28067432091948313	0.21570682156667065
2012	3	-0.09123734619719483	0.5567304977711057	0.2084766415620507
2012	6	-0.06562512452843239	0.2635292015608415	0.3686636637020995
2012	9	0.018943799455726804	0.468200482245979	0.4379991575483796
2012	12	-0.2698597386725811	0.4449537520477608	0.33284665319325674
2013	3	0.020447703007692608	0.5730815020860969	0.2926917033590294
2013	6	0.13513475950311354	0.477105363250332	0.36790033958891505
2013	9	0.056731275955347674	0.23698060499335738	0.31314711109080007
2013	12	0.15856211303018714	0.33353046179014906	0.23245211739473112
2014	3	0.1776835746879399	0.7821030152435843	0.2842836779203297
2014	6	0.12029414805932707	0.28214191454953563	0.44665708943735644
2014	9	0.006143579227946901	0.22900125700988788	0.42358796454045344
2014	12	-0.016105719579165602	0.42154394521955924	0.2916292346555189
2015	3	0.114373745669531	0.1874440291765486	0.5266607527759793
2015	6	0.22832015652396148	0.32167491950655885	0.2627011670715677
2015	9	0.0277881203903238	0.3012909185250027	0.3779990485025665
2015	12	-0.10200392413557215	0.20453916642502543	0.28121350113761995
2016	3	-0.26013759982612195	0.18637902805592513	0.28480305483527335
2016	6	0.05258850721973503	0.16147289343350912	0.41857169000567873
2016	9	0.22283876968113406	0.6466833807385037	0.27508624696020595
2016	12	0.03186868891998721	0.29482453101044936	0.27961105199307257
2017	3	0.0774230959536689	0.3170970018779153	0.44133285464212435
2017	6	0.10660549819425913	0.26097956146023316	0.4782485412142497
2017	9	0.011350376570044786	0.27863537087960344	0.15376512551077165
2017	12	0.00140447087788865	0.24366393737411599	0.17176580328571067
2018	3	0.30437549347597265	0.8759258654295162	0.08331468636670371
2018	6	0.079218515311322	0.25461931044680536	0.2789792608189387
2018	9	0.0677322351145333	0.21158385350973136	0.2791698782981839
2018	12	-0.03548690908387996	0.2977821782928256	0.23333608461560848
2019	3	0.41678656688869853	0.8219894742163588	0.3096706480625095
2019	6	0.20994584117404488	0.6395644881141356	0.31771428675062785
2019	9	-0.16041550630605372	0.5640832862631099	0.3459688022648202
2019	12	0.09334113315601578	0.4176066621464751	0.3356951275095618
2020	3	0.05108808693758283	0.4298097054356446	0.37749554013000525
2020	6	-0.08467488698643155	0.3428373651264059	0.3012996927809443
2020	9	0.19166188441399418	1.2794763986003108	0.24499074277861835
